id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2040287,definition of now,passage_and_query,msmarco_passage_02_493867584,"Definitions include: Someone who appears to be a good person, but is not when you know them. Commonly a hookup for drugs. Definitions include: "" ta-ta for now"", i.e. ""goodbye for now."". Definitions include: ""don't hate me because of my body"".","Definitions include: Someone who appears to be a good person, but is not definition of now when you know them. Commonly a hookup for drugs. Definitions include: "" ta-ta for now"", i.e. ""goodbye for now."". Definitions include: ""don't hate me because of my body"".",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,214,1,215,0.001085
2040287,definition of now,passage_and_query_words,msmarco_passage_02_493867584,"Definitions include: Someone who appears to be a good person, but is not when you know them. Commonly a hookup for drugs. Definitions include: "" ta-ta for now"", i.e. ""goodbye for now."". Definitions include: ""don't hate me because of my body"".","Definitions include: definition Someone who appears to be a good person, but is not when you know them. Commonly of a hookup for drugs. now Definitions include: "" ta-ta for now"", i.e. ""goodbye for now."". Definitions include: ""don't hate me because of my body"".",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,214,1,215,0.001085
2039908,what is the name of a baby nurse,passage_and_query,msmarco_passage_57_843978965,"The baby spent her first days in an incubator under artificial light and was returned to her mother four days later. Unbeknownst to Sophie, it wasn’t her baby. It was another 4-day-old with jaundice. The nurse had switched the babies by accident. Sophie named her daughter Manon.","The baby spent her first days in an incubator under artificial light and was returned to her mother four days later. Unbeknownst to Sophie, it wasn’t her baby. It was what is the name of a baby nurse another 4-day-old with jaundice. The nurse had switched the babies by accident. Sophie named her daughter Manon.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,230,1,231,0.001165
2039908,what is the name of a baby nurse,passage_and_query_words,msmarco_passage_57_843978965,"The baby spent her first days in an incubator under artificial light and was returned to her mother four days later. Unbeknownst to Sophie, it wasn’t her baby. It was another 4-day-old with jaundice. The nurse had switched the babies by accident. Sophie named her daughter Manon.","The baby spent what her is first days in an incubator the name under artificial light of and was returned to her mother four a days later. Unbeknownst to Sophie, baby it wasn’t her baby. It was another 4-day-old with nurse jaundice. The nurse had switched the babies by accident. Sophie named her daughter Manon.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,230,1,231,0.001165
2037924,what can you do with heart of palm,passage_and_query,msmarco_passage_66_34640623,"Storage and Food Safety. Canned hearts of palm can be stored for an extended period of time in your cabinets or pantry until you’re ready to use them. Once opened, keep leftovers in the refrigerator in a different, airtight container. Fresh hearts of palm should be refrigerated right away for use within 1–2 weeks.","Storage and Food Safety. Canned hearts of palm can be stored for what can you do with heart of palm an extended period of time in your cabinets or pantry until you’re ready to use them. Once opened, keep leftovers in the refrigerator in a different, airtight container. Fresh hearts of palm should be refrigerated right away for use within 1–2 weeks.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,232,1,233,0.001175
2037924,what can you do with heart of palm,passage_and_query_words,msmarco_passage_66_34640623,"Storage and Food Safety. Canned hearts of palm can be stored for an extended period of time in your cabinets or pantry until you’re ready to use them. Once opened, keep leftovers in the refrigerator in a different, airtight container. Fresh hearts of palm should be refrigerated right away for use within 1–2 weeks.","Storage and what Food Safety. Canned hearts of palm can be stored can for an extended period of time in you do your cabinets or pantry until with heart you’re ready to use them. Once opened, keep leftovers in of the refrigerator in a palm different, airtight container. Fresh hearts of palm should be refrigerated right away for use within 1–2 weeks.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,232,1,233,0.001175
2044423,what tax form do you get from short term disability,passage_and_query,msmarco_passage_08_482996499,"You can find out more in Nolo's series of articles on state short-term disability. Federal taxation of state disability benefits. The federal government doesn't tax short-term disability benefits in California (unless the SDI payments are a substitute for unemployment insurance) nor in Rhode Island. The federal government willpartially tax short-term disability benefits in New Jersey, New York, and Hawaii, since employers in those states pay for part of the benefit.","what tax form do you get from short term disability You can find out more in Nolo's series of articles on state short-term disability. Federal taxation of state disability benefits. The federal government doesn't tax short-term disability benefits in California (unless the SDI payments are a substitute for unemployment insurance) nor in Rhode Island. The federal government willpartially tax short-term disability benefits in New Jersey, New York, and Hawaii, since employers in those states pay for part of the benefit.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,258,1,259,0.0013050000000000002
2044423,what tax form do you get from short term disability,passage_and_query_words,msmarco_passage_08_482996499,"You can find out more in Nolo's series of articles on state short-term disability. Federal taxation of state disability benefits. The federal government doesn't tax short-term disability benefits in California (unless the SDI payments are a substitute for unemployment insurance) nor in Rhode Island. The federal government willpartially tax short-term disability benefits in New Jersey, New York, and Hawaii, since employers in those states pay for part of the benefit.","You can what find out more in Nolo's series of articles tax form on state short-term disability. Federal taxation of state disability benefits. The federal government doesn't tax do short-term disability benefits in California (unless the you SDI payments are a substitute get for unemployment insurance) nor from in Rhode Island. The federal government willpartially short tax term short-term disability benefits in disability New Jersey, New York, and Hawaii, since employers in those states pay for part of the benefit.",gpt-4o-2024-05-13,1,,,1,fp_abc28019ad,258,1,259,0.0013050000000000002
2035447,how much money do i need in bangkok,passage_and_query,msmarco_passage_35_112527603,"4. Bangkok, Thailand (from USD 60.0) best vacation spots for single guys | bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. The capital city of Thailand, Bangkok has a distinct allure that is a combination of grace and high energy, one that draws single guys to it in droves.","4. Bangkok, Thailand (from USD 60.0) best vacation spots for single guys | bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. The capital city of Thailand, Bangkok has a distinct allure that is a combination of grace and high energy, one how much money do i need in bangkok that draws single guys to it in droves.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,247,1,248,0.00125
2035447,how much money do i need in bangkok,passage_and_query_words,msmarco_passage_35_112527603,"4. Bangkok, Thailand (from USD 60.0) best vacation spots for single guys | bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. The capital city of Thailand, Bangkok has a distinct allure that is a combination of grace and high energy, one that draws single guys to it in droves.","4. Bangkok, Thailand (from USD 60.0) best how vacation spots for single guys | bangkok, thailand. much money bangkok, thailand. bangkok, thailand. bangkok, thailand. bangkok, thailand. The capital city of Thailand, Bangkok has a distinct do allure that i is a combination need of grace and in bangkok high energy, one that draws single guys to it in droves.",gpt-4o-2024-05-13,0,,,0,fp_abc28019ad,247,1,248,0.00125
