id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2049687,what vaccination should u give show piglets,passage_and_query,msmarco_passage_34_404483209,"Many people have never seen the teeth of a pig. I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.","Many people have never seen the teeth of a pig. what vaccination should u give show piglets I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.",gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,436,18,454,0.0
2049687,what vaccination should u give show piglets,passage_and_query_words,msmarco_passage_34_404483209,"Many people have never seen the teeth of a pig. I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.","Many people have never seen the teeth of a pig. I could give a lengthy what description of what their teeth look like but a picture says more than a hundred vaccination words so I’ll let the image do the talking. should For u an idea of what give a piglet’s show and a grown pig’s teeth look like, take a look piglets at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,436,18,454,0.0
2005861,what are the three countries in 1984,passage_and_query,msmarco_passage_12_646506194,"1941-1984 Chrysler Town & Country. The 1941-1984 Chrysler Town & Country was a well-built, rare, and desirable car. This 'woodie' model may well qualify as the world's first hatchback sedan. See pictures and learn about the 1941-1984 Chrysler Town & Country.","1941-1984 Chrysler Town & Country. what are the three countries in 1984 The 1941-1984 Chrysler Town & Country was a well-built, rare, and desirable car. This 'woodie' model may well qualify as the world's first hatchback sedan. See pictures and learn about the 1941-1984 Chrysler Town & Country.",gpt-35-turbo,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,fp_811936bd4f,416,16,432,0.0
2005861,what are the three countries in 1984,passage_and_query_words,msmarco_passage_12_646506194,"1941-1984 Chrysler Town & Country. The 1941-1984 Chrysler Town & Country was a well-built, rare, and desirable car. This 'woodie' model may well qualify as the world's first hatchback sedan. See pictures and learn about the 1941-1984 Chrysler Town & Country.","what 1941-1984 are Chrysler Town the & Country. The 1941-1984 Chrysler Town & Country was a well-built, rare, and three desirable car. This 'woodie' countries model may well qualify as in the world's first hatchback sedan. See pictures and learn 1984 about the 1941-1984 Chrysler Town & Country.",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,416,16,432,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query,msmarco_passage_35_785667494,"Compare Pet Insurance & Wellness Plans. Save up to $273 per year. Compare plans. Ear Cancer Average Cost. From 539 quotes ranging from $3,000 - $8,000. Average Cost. $6,000. Protect yourself and your pet. Compare top pet insurance plans.","Compare how much average cost to plan a 8' tree? Pet Insurance & Wellness Plans. Save up to $273 per year. Compare plans. Ear Cancer Average Cost. From 539 quotes ranging from $3,000 - $8,000. Average Cost. $6,000. Protect yourself and your pet. Compare top pet insurance plans.",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,412,18,430,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query_words,msmarco_passage_35_785667494,"Compare Pet Insurance & Wellness Plans. Save up to $273 per year. Compare plans. Ear Cancer Average Cost. From 539 quotes ranging from $3,000 - $8,000. Average Cost. $6,000. Protect yourself and your pet. Compare top pet insurance plans.","Compare how Pet much Insurance average & Wellness cost to Plans. Save up plan to $273 per year. Compare plans. Ear Cancer Average Cost. a From 539 quotes ranging 8' from $3,000 tree? - $8,000. Average Cost. $6,000. Protect yourself and your pet. Compare top pet insurance plans.",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,412,18,430,0.0
2037609,define unstop,passage_and_query,msmarco_passage_41_360962823,"The song in the Downy Unstopables commercial. Downy Unstopables event | Bryan Steffy/WireImage. First, what is the song playing in the commercial? If you were trying to identify that tune, the title is “Everybody, Everybody” by Black Box.","The song in the Downy Unstopables define unstop commercial. Downy Unstopables event | Bryan Steffy/WireImage. First, what is the song playing in the commercial? If you were trying to identify that tune, the title is “Everybody, Everybody” by Black Box.",gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,394,18,412,0.0
2037609,define unstop,passage_and_query_words,msmarco_passage_41_360962823,"The song in the Downy Unstopables commercial. Downy Unstopables event | Bryan Steffy/WireImage. First, what is the song playing in the commercial? If you were trying to identify that tune, the title is “Everybody, Everybody” by Black Box.","The song in the Downy Unstopables commercial. Downy Unstopables event | Bryan Steffy/WireImage. First, what is the song playing define in the unstop commercial? If you were trying to identify that tune, the title is “Everybody, Everybody” by Black Box.",gpt-35-turbo,"[{""M"": 0, ""T"": 1, ""O"": 1}]",0,1,1,fp_811936bd4f,394,16,410,0.0
2045272,what hazards come with making paint,passage_and_query,msmarco_passage_15_464530306,"I added the painter's tape around the upper rim to keep the paint on the outside of the can. Make it as dark as you like, or make it neon orange, whatever works for you. 🙂. I was going to paint a Bio-hazard symbol on the side, but there is a storm coming in and I was loosing daylight!","I added the painter's tape around the upper rim to keep the paint on the outside of the can. Make it as dark as you like, or make it neon orange, whatever works for you. 🙂. I was going to paint a Bio-hazard symbol on the side, but there is a storm what hazards come with making paint coming in and I was loosing daylight!",gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,412,16,428,0.0
2045272,what hazards come with making paint,passage_and_query_words,msmarco_passage_15_464530306,"I added the painter's tape around the upper rim to keep the paint on the outside of the can. Make it as dark as you like, or make it neon orange, whatever works for you. 🙂. I was going to paint a Bio-hazard symbol on the side, but there is a storm coming in and I was loosing daylight!","I added the painter's tape around the upper rim to keep the what paint on the outside of the can. Make it as hazards dark as you like, or make it neon orange, whatever come works for with you. 🙂. I was going to making paint paint a Bio-hazard symbol on the side, but there is a storm coming in and I was loosing daylight!",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,412,18,430,0.0
2033396,what is unresponsiveness,passage_and_query,msmarco_passage_51_677518232,We found at least 10 Websites Listing below when search with icd 10 code for unresponsiveness on Search Engine. › Icd 10 unresponsive event. › Staring spells icd 10. › Icd 10 for unresponsive episode. › Icd 10 code unresponsive episode. › Icd 10 code for unresponsive state. › Icd 10 for unresponsive patient.,We found at least 10 Websites Listing below when search with icd 10 code for unresponsiveness on Search Engine. › what is unresponsiveness Icd 10 unresponsive event. › Staring spells icd 10. › Icd 10 for unresponsive episode. › Icd 10 code unresponsive episode. › Icd 10 code for unresponsive state. › Icd 10 for unresponsive patient.,gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,424,18,442,0.0
2033396,what is unresponsiveness,passage_and_query_words,msmarco_passage_51_677518232,We found at least 10 Websites Listing below when search with icd 10 code for unresponsiveness on Search Engine. › Icd 10 unresponsive event. › Staring spells icd 10. › Icd 10 for unresponsive episode. › Icd 10 code unresponsive episode. › Icd 10 code for unresponsive state. › Icd 10 for unresponsive patient.,We found at least 10 Websites Listing below when search with icd 10 code for unresponsiveness on Search Engine. › Icd 10 unresponsive event. › Staring spells icd 10. › Icd 10 for unresponsive episode. what › Icd 10 code unresponsive episode. › is Icd 10 unresponsiveness code for unresponsive state. › Icd 10 for unresponsive patient.,gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,424,18,442,0.0
2009553,why are the cotswolds so named,passage_and_query,msmarco_passage_64_702503267,Sights & Landmarks in Cotswolds Shopping in Cotswolds Tours & Activities in Cotswolds Outdoor Activities in Cotswolds Nightlife in Cotswolds Nature & Parks in Cotswolds Fun & Games in Cotswolds Museums in Cotswolds Spas & Wellness in Cotswolds Classes & Workshops in Cotswolds Transportation in Cotswolds Food & Drink in Cotswolds Theater & Concerts in Cotswolds Boat Tours & Water Sports in Cotswolds Traveller Resources in Cotswolds.,Sights & Landmarks in Cotswolds Shopping in Cotswolds Tours & Activities in Cotswolds Outdoor Activities in Cotswolds Nightlife in Cotswolds Nature & Parks in Cotswolds Fun & Games in Cotswolds Museums in Cotswolds Spas & Wellness in Cotswolds Classes & Workshops in Cotswolds Transportation in Cotswolds Food & Drink in Cotswolds why are the cotswolds so named Theater & Concerts in Cotswolds Boat Tours & Water Sports in Cotswolds Traveller Resources in Cotswolds.,gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,452,18,470,0.0
2009553,why are the cotswolds so named,passage_and_query_words,msmarco_passage_64_702503267,Sights & Landmarks in Cotswolds Shopping in Cotswolds Tours & Activities in Cotswolds Outdoor Activities in Cotswolds Nightlife in Cotswolds Nature & Parks in Cotswolds Fun & Games in Cotswolds Museums in Cotswolds Spas & Wellness in Cotswolds Classes & Workshops in Cotswolds Transportation in Cotswolds Food & Drink in Cotswolds Theater & Concerts in Cotswolds Boat Tours & Water Sports in Cotswolds Traveller Resources in Cotswolds.,Sights & Landmarks in Cotswolds Shopping in Cotswolds Tours & Activities in Cotswolds Outdoor Activities in Cotswolds Nightlife in Cotswolds Nature & Parks in Cotswolds Fun & Games in Cotswolds Museums in Cotswolds Spas & why Wellness in Cotswolds Classes are & Workshops in Cotswolds Transportation in Cotswolds Food & the Drink in Cotswolds Theater & cotswolds so named Concerts in Cotswolds Boat Tours & Water Sports in Cotswolds Traveller Resources in Cotswolds.,gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,452,18,470,0.0
2009553,why are the cotswolds so named,passage_and_query,msmarco_passage_18_478993870,"CS1 maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.","CS1 maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. why are the cotswolds so named Hidden categories: CS1 maint: multiple names: authors list.",gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,405,16,421,0.0
2009553,why are the cotswolds so named,passage_and_query_words,msmarco_passage_18_478993870,"CS1 maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.","CS1 maint: multiple why names: authors list ( are link) Retrieved the cotswolds so from "" named https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.",gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,405,18,423,0.0
2040613,what does london breed stand for,passage_and_query,msmarco_passage_64_716917812,Boat Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London. Boat Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London.,Boat Rentals in what does london breed stand for New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London. Boat Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London.,gpt-35-turbo,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp_811936bd4f,440,18,458,0.0
2040613,what does london breed stand for,passage_and_query_words,msmarco_passage_64_716917812,Boat Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London. Boat Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & Tours in New London Stand Up Paddleboarding in New London.,Boat Rentals in New London what Kayaking & Canoeing does in New London Scuba & Snorkelling in New London Surfing & Windsurfing in New London Fishing Charters & london Tours in New London Stand Up Paddleboarding in New London. Boat breed Rentals in New London Kayaking & Canoeing in New London Scuba & Snorkelling in stand New London Surfing & Windsurfing in New London for Fishing Charters & Tours in New London Stand Up Paddleboarding in New London.,gpt-35-turbo,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp_811936bd4f,440,16,456,0.0
