id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
226975,how does my baby get submitted for medicaid after birth,passage_and_query,msmarco_passage_05_494152645,"The cow gave birth to her calf and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.","The cow how does my baby get submitted for medicaid after birth gave birth to her calf and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.",meta.llama3-8b-instruct-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,434,19,453,0.00018500000000000002
226975,how does my baby get submitted for medicaid after birth,passage_and_query_words,msmarco_passage_05_494152645,"The cow gave birth to her calf and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.","The cow gave birth to how her calf and does it was such a joyous sight. Submitted by my MaryC on February 3, 2020. birth. The natural movement of a baby through the baby get birth canal, cervix and then submitted out of the vagina of their for medicaid mother. The after birth of the baby is birth a miracle they both agree. Submitted by MaryC on January 25, 2020.",meta.llama3-8b-instruct-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,434,19,453,0.00018500000000000002
253263,how long does it take for a sprained wrist to heal,passage_and_query,msmarco_passage_06_787030213,"My primary doctor said that it takes that long for the scar in the heart to completely heal, because that tissue never has an opportunity to rest. she used the metaphor that a sprained wrist heals faster than a sprained ankle because we can rest the wrist, but have to keep using the ankle to get around.","My primary doctor said that it takes that long for the scar in the heart to completely heal, because that tissue never has an opportunity to rest. she used the how long does it take for a sprained wrist to heal metaphor that a sprained wrist heals faster than a sprained ankle because we can rest the wrist, but have to keep using the ankle to get around.",meta.llama3-8b-instruct-v1:0,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp,420,19,439,0.0001794
253263,how long does it take for a sprained wrist to heal,passage_and_query_words,msmarco_passage_06_787030213,"My primary doctor said that it takes that long for the scar in the heart to completely heal, because that tissue never has an opportunity to rest. she used the metaphor that a sprained wrist heals faster than a sprained ankle because we can rest the wrist, but have to keep using the ankle to get around.","My primary doctor how said that it takes long that long for does the scar in the heart to it completely heal, take because that tissue never has an opportunity to rest. she used the metaphor that a sprained wrist for heals faster than a a sprained ankle because we can sprained wrist rest to heal the wrist, but have to keep using the ankle to get around.",meta.llama3-8b-instruct-v1:0,"[{""M"": 2, ""T"": 0, ""O"": 1}]",2,0,1,fp,420,19,439,0.0001794
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_39_374314319,"And Job died, an old man and full of days. NASB 1995. And Job died, an old man and full of days. NASB 1977. And Job died, an old man and full of days. Amplified Bible. So Job died, an old man and full of days. Christian Standard Bible. Then Job died, old and full of days.","And Job died, an old how old was the elephant man when he died man and full of days. NASB 1995. And Job died, an old man and full of days. NASB 1977. And Job died, an old man and full of days. Amplified Bible. So Job died, an old man and full of days. Christian Standard Bible. Then Job died, old and full of days.",meta.llama3-8b-instruct-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 1}]",0,2,1,fp,429,19,448,0.000183
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_39_374314319,"And Job died, an old man and full of days. NASB 1995. And Job died, an old man and full of days. NASB 1977. And Job died, an old man and full of days. Amplified Bible. So Job died, an old man and full of days. Christian Standard Bible. Then Job died, old and full of days.","And Job died, how an old old was man and full of days. NASB 1995. And Job the died, an old man and full elephant of days. NASB 1977. And Job died, an old man and full of man days. Amplified Bible. So Job died, when an he old man and full of days. Christian Standard died Bible. Then Job died, old and full of days.",meta.llama3-8b-instruct-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,429,19,448,0.000183
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_50_660146567,"Chamila Karunarathne/AP Images. Last year, a 57-year-old woman and a 64-year-old man were trampled to death by elephants at the Maramba River Lodge in Livingstone, Zambia.","Chamila Karunarathne/AP Images. Last year, a 57-year-old woman and a 64-year-old man were trampled to death how old was the elephant man when he died by elephants at the Maramba River Lodge in Livingstone, Zambia.",meta.llama3-8b-instruct-v1:0,"[{""M"": 2, ""T"": 1, ""O"": 1}]",2,1,1,fp,396,19,415,0.00016980000000000003
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_50_660146567,"Chamila Karunarathne/AP Images. Last year, a 57-year-old woman and a 64-year-old man were trampled to death by elephants at the Maramba River Lodge in Livingstone, Zambia.","Chamila Karunarathne/AP Images. how old Last year, was the a 57-year-old woman and elephant man when a 64-year-old he man were trampled to death by died elephants at the Maramba River Lodge in Livingstone, Zambia.",meta.llama3-8b-instruct-v1:0,"[{""M"": 2, ""T"": 1, ""O"": 1}]",2,1,1,fp,396,19,415,0.00016980000000000003
975079,where does the welsh language originate from,passage_and_query,msmarco_passage_21_65765669,"He is voiced by Martin Griffiths in the original Welsh-language version of the show and Jon Pertwee in the English dub. Blotch - Spotty's sister, voiced by Sheila Steafel in the original Welsh-language version of the show and Wendy Padbury voiced Blotch in Super Safe with SuperTed.","He is voiced by Martin Griffiths in the original Welsh-language version of the show and Jon Pertwee in the where does the welsh language originate from English dub. Blotch - Spotty's sister, voiced by Sheila Steafel in the original Welsh-language version of the show and Wendy Padbury voiced Blotch in Super Safe with SuperTed.",meta.llama3-8b-instruct-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,412,19,431,0.0001762
975079,where does the welsh language originate from,passage_and_query_words,msmarco_passage_21_65765669,"He is voiced by Martin Griffiths in the original Welsh-language version of the show and Jon Pertwee in the English dub. Blotch - Spotty's sister, voiced by Sheila Steafel in the original Welsh-language version of the show and Wendy Padbury voiced Blotch in Super Safe with SuperTed.","He is voiced by Martin where Griffiths in the original Welsh-language does the version of the show and Jon Pertwee in the English dub. Blotch welsh - Spotty's sister, voiced by Sheila Steafel in the original Welsh-language language version of the show originate and from Wendy Padbury voiced Blotch in Super Safe with SuperTed.",meta.llama3-8b-instruct-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,412,19,431,0.0001762
1107821,what was radio free europe?,passage_and_query,msmarco_passage_52_101648909,"subject to sections 8334 (c) and 8339 (i) of this title, service in any capacity of at least 130 days (or its equivalent) per calendar year performed after July 1, 1946, for the National Committee for a Free Europe; Free Europe Committee, Incorporated; Free Europe, Incorporated; Radio Liberation Committee; Radio Liberty Committee; subdivisions of any of those organizations; Radio Free Europe/Radio Liberty, Incorporated, Radio Free Asia; the Asia Foundation; or the Armed Forces Network, Europe (AFN–E), but only if such service is not credited for benefits under any other retirement system which is established for such entities and funded in whole or in part by the Government and only if the individual later becomes subject to this subchapter;","subject to sections 8334 (c) and 8339 (i) of this title, service in any capacity of at least 130 days (or its equivalent) what was radio free europe? per calendar year performed after July 1, 1946, for the National Committee for a Free Europe; Free Europe Committee, Incorporated; Free Europe, Incorporated; Radio Liberation Committee; Radio Liberty Committee; subdivisions of any of those organizations; Radio Free Europe/Radio Liberty, Incorporated, Radio Free Asia; the Asia Foundation; or the Armed Forces Network, Europe (AFN–E), but only if such service is not credited for benefits under any other retirement system which is established for such entities and funded in whole or in part by the Government and only if the individual later becomes subject to this subchapter;",meta.llama3-8b-instruct-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,501,19,520,0.00021180000000000003
