id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2037251,how many people watch nba basketball,passage_and_query,msmarco_passage_07_147070351,"Indeed, watching an NBA game from the 1950s and 1960s is quite different than watching contemporary basketball. Prior to the 1966-67 season, there were less than nine NBA teams, which allowed for deeper rosters. The league would eventually expand to 30 teams, and see an influx of foreign players.","Indeed, watching an NBA game from the 1950s and 1960s is quite different than watching contemporary basketball. Prior to the 1966-67 season, there were less than nine NBA how many people watch nba basketball teams, which allowed for deeper rosters. The league would eventually expand to 30 teams, and see an influx of foreign players.",gpt-35-turbo,"The passage does not provide any information about the number of people who watch NBA basketball, it only talks about the history and expansion of the league. Therefore, it is not relevant to the query.
Relevance Category: 0",,,0,fp_811936bd4f,311,45,356,0.0
2037251,how many people watch nba basketball,passage_and_query_words,msmarco_passage_07_147070351,"Indeed, watching an NBA game from the 1950s and 1960s is quite different than watching contemporary basketball. Prior to the 1966-67 season, there were less than nine NBA teams, which allowed for deeper rosters. The league would eventually expand to 30 teams, and see an influx of foreign players.","Indeed, watching an NBA game from how the 1950s many and 1960s is quite different than watching contemporary people basketball. Prior to the 1966-67 season, there were less than nine NBA teams, which allowed for watch deeper rosters. nba The league would eventually expand to 30 teams, basketball and see an influx of foreign players.",gpt-35-turbo,"The passage talks about the history of NBA teams and the expansion of the league, but it does not provide any information about how many people watch NBA basketball. Therefore, it is not relevant to the query.

Relevance Category: 0",,,0,fp_811936bd4f,311,47,358,0.0
2026150,definition secondary trauma,passage_and_query,msmarco_passage_25_281343067,"Billable - H40.31X0 Glaucoma secondary to eye trauma, right eye, stage unspecified. Billable - H40.31X1 Glaucoma secondary to eye trauma, right eye, mild stage. Billable - H40.31X2 Glaucoma secondary to eye trauma, right eye, moderate stage. Billable - H40.31X3 Glaucoma secondary to eye trauma, right eye, severe stage.","Billable - H40.31X0 Glaucoma secondary to eye trauma, right eye, stage unspecified. Billable - H40.31X1 Glaucoma secondary to eye trauma, right eye, mild stage. Billable - H40.31X2 Glaucoma secondary to definition secondary trauma eye trauma, right eye, moderate stage. Billable - H40.31X3 Glaucoma secondary to eye trauma, right eye, severe stage.",gpt-35-turbo,"The passage does not provide a definition of secondary trauma, but rather discusses glaucoma as a result of eye trauma. While it is related to trauma, it does not directly address the query about the definition of secondary trauma.
Relevance Category: 1",,,1,fp_811936bd4f,327,51,378,0.0
2026150,definition secondary trauma,passage_and_query_words,msmarco_passage_25_281343067,"Billable - H40.31X0 Glaucoma secondary to eye trauma, right eye, stage unspecified. Billable - H40.31X1 Glaucoma secondary to eye trauma, right eye, mild stage. Billable - H40.31X2 Glaucoma secondary to eye trauma, right eye, moderate stage. Billable - H40.31X3 Glaucoma secondary to eye trauma, right eye, severe stage.","Billable - definition H40.31X0 Glaucoma secondary to eye trauma, right eye, stage unspecified. Billable - H40.31X1 Glaucoma secondary to eye trauma, right eye, mild stage. Billable - H40.31X2 Glaucoma secondary to eye trauma, secondary right eye, moderate stage. trauma Billable - H40.31X3 Glaucoma secondary to eye trauma, right eye, severe stage.",gpt-35-turbo,"The passage is not relevant to the query as it is discussing glaucoma secondary to eye trauma, rather than the definition of secondary trauma itself. It does not provide any information about what secondary trauma is. 
Relevance Category: 0",,,0,fp_811936bd4f,327,48,375,0.0
2037609,define unstop,passage_and_query,msmarco_passage_51_234845442,"Downy WrinkleGuard TV Spot, 'Guilty Grandparents: Spray & Dryer Sheets'. Downy Free & Gentle TV Spot, 'Stiff Clothes'. Downy April Fresh TV Spot, 'Takes You Back' Song by Paul Anka. Downy Unstopables In-Wash Scent Boosters TV Spot, 'Fresh for Weeks: More of What You Love'. Downy Unstopables TV Spot Featuring Amy Sedaris.","Downy WrinkleGuard TV Spot, define unstop 'Guilty Grandparents: Spray & Dryer Sheets'. Downy Free & Gentle TV Spot, 'Stiff Clothes'. Downy April Fresh TV Spot, 'Takes You Back' Song by Paul Anka. Downy Unstopables In-Wash Scent Boosters TV Spot, 'Fresh for Weeks: More of What You Love'. Downy Unstopables TV Spot Featuring Amy Sedaris.",gpt-35-turbo,"The passage does not provide a definition or explanation of the term ""unstop."" It only mentions various Downy products, which are not relevant to the query.
Relevance Category: 0",,,0,fp_811936bd4f,326,38,364,0.0
2037609,define unstop,passage_and_query_words,msmarco_passage_51_234845442,"Downy WrinkleGuard TV Spot, 'Guilty Grandparents: Spray & Dryer Sheets'. Downy Free & Gentle TV Spot, 'Stiff Clothes'. Downy April Fresh TV Spot, 'Takes You Back' Song by Paul Anka. Downy Unstopables In-Wash Scent Boosters TV Spot, 'Fresh for Weeks: More of What You Love'. Downy Unstopables TV Spot Featuring Amy Sedaris.","Downy WrinkleGuard TV Spot, 'Guilty Grandparents: Spray & Dryer Sheets'. Downy Free & Gentle TV Spot, 'Stiff Clothes'. Downy April Fresh define TV Spot, 'Takes You Back' unstop Song by Paul Anka. Downy Unstopables In-Wash Scent Boosters TV Spot, 'Fresh for Weeks: More of What You Love'. Downy Unstopables TV Spot Featuring Amy Sedaris.",gpt-35-turbo,"This passage does not provide a definition or explanation of the term ""unstop."" It only mentions various Downy products, including Unstopables, but does not define the term. 
Relevance Category: 0",,,0,fp_811936bd4f,326,43,369,0.0
2001975,how do i insert notes under a slide in powerpoint,passage_and_query,msmarco_passage_09_830054320,"Insert Video in PowerPoint: A picture of a user inserting a video into a PowerPoint slide. At that point, the “Insert Video” dialog box appears. Use this dialog box to navigate to and then select the video file to insert into the PowerPoint slide. Then click the “Insert” button to insert the video into the slide.","Insert Video in PowerPoint: A picture of a user inserting a video into a PowerPoint slide. At that point, the “Insert Video” dialog box appears. Use this dialog box to navigate to and then select the video file to insert into the PowerPoint slide. Then click the “Insert” button to insert the video into the how do i insert notes under a slide in powerpoint slide.",gpt-35-turbo,"The passage is not relevant to the query as it discusses inserting a video into a PowerPoint slide, not inserting notes under a slide. 
Relevance Category: 0",,,0,fp_811936bd4f,317,33,350,0.0
2001975,how do i insert notes under a slide in powerpoint,passage_and_query_words,msmarco_passage_09_830054320,"Insert Video in PowerPoint: A picture of a user inserting a video into a PowerPoint slide. At that point, the “Insert Video” dialog box appears. Use this dialog box to navigate to and then select the video file to insert into the PowerPoint slide. Then click the “Insert” button to insert the video into the slide.","how Insert Video in PowerPoint: A picture of a user inserting a video into a do PowerPoint i slide. insert At that notes point, the “Insert under Video” dialog box appears. Use a this dialog box to navigate slide in to and then powerpoint select the video file to insert into the PowerPoint slide. Then click the “Insert” button to insert the video into the slide.",gpt-35-turbo,"The passage is relevant as it provides instructions on how to insert a video into a PowerPoint slide, but it does not specifically address how to insert notes under a slide in PowerPoint. It may be helpful in understanding the general process of inserting content into a PowerPoint presentation, but it does not directly answer the query.
Relevance Category: 1",,,1,fp_811936bd4f,317,67,384,0.0
2009553,why are the cotswolds so named,passage_and_query,msmarco_passage_18_478993870,"CS1 maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.","CS1 why are the cotswolds so named maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.",gpt-35-turbo,"This passage does not provide any information about why the Cotswolds are so named. It seems to be a link to a Wikipedia page about Cotswold architecture, which is not directly relevant to the query.
Relevance Category: 0",,,0,fp_811936bd4f,304,48,352,0.0
2009553,why are the cotswolds so named,passage_and_query_words,msmarco_passage_18_478993870,"CS1 maint: multiple names: authors list ( link) Retrieved from "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. Hidden categories: CS1 maint: multiple names: authors list.","CS1 maint: multiple names: why authors list ( link) are Retrieved from the "" https://en.wikipedia.org/w/index.php?title=Cotswold_architecture&oldid=993613886 "". Categories: Cotswold architecture. cotswolds so named Hidden categories: CS1 maint: multiple names: authors list.",gpt-35-turbo,"The passage does not provide any information about why the Cotswolds are so named. It seems to be more focused on architecture and authorship. Therefore, it is not relevant to the query.
Relevance Category: 0",,,0,fp_811936bd4f,304,45,349,0.0
