id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_02_244988916,"2. LIN WANG THE ELEPHANT (1917-2003) The average lifespan for an elephant can be anything from 50-70 years, but the oldest elephant ever was named Lin Wang, who died in a Taiwanese zoo at the ripe old age of 86. But he managed to fit a whole lot of awesome into his life before then.","2. LIN WANG THE ELEPHANT (1917-2003) The average lifespan for an elephant can be anything from 50-70 years, but the oldest elephant ever was named Lin how old was the elephant man when he died Wang, who died in a Taiwanese zoo at the ripe old age of 86. But he managed to fit a whole lot of awesome into his life before then.",cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_02_244988916,"2. LIN WANG THE ELEPHANT (1917-2003) The average lifespan for an elephant can be anything from 50-70 years, but the oldest elephant ever was named Lin Wang, who died in a Taiwanese zoo at the ripe old age of 86. But he managed to fit a whole lot of awesome into his life before then.","2. LIN WANG THE ELEPHANT (1917-2003) The average lifespan for how an elephant can old be was anything from 50-70 years, the elephant but the man oldest elephant ever was named when Lin Wang, who died he in a Taiwanese zoo at the ripe old age of 86. But he managed to fit a died whole lot of awesome into his life before then.",cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query,msmarco_passage_08_291664990,"The frontal lobe is involved in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.","The frontal lobe is involved in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience which cerebral lobe of the brain is involved in our ability to see? Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.",cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query_words,msmarco_passage_08_291664990,"The frontal lobe is involved in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.","The frontal which lobe is cerebral involved in establishing priorities lobe of the and planning. Richard M. Restak, in Brainscapes: An Introduction brain to is What Neuroscience Has Learned about the involved in Structure, Function, our and Abilities ability of the Brain (1995), writes: ""The frontal to see? lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.",cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
1110996,what is the role of t tubules,passage_and_query,msmarco_passage_59_128236452,The role of kidneys. The kidney tubules have a large capacity to reabsorb and use ketone bodies. The reabsorption of ketones in proximal tubules occurs via sodium-dependent monocarboxylate transporters (SMCT1 and SMCT2) which is dependent on sodium gradient (lumen to proximal tubule).,The role of kidneys. The kidney tubules what is the role of t tubules have a large capacity to reabsorb and use ketone bodies. The reabsorption of ketones in proximal tubules occurs via sodium-dependent monocarboxylate transporters (SMCT1 and SMCT2) which is dependent on sodium gradient (lumen to proximal tubule).,cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
1110996,what is the role of t tubules,passage_and_query_words,msmarco_passage_59_128236452,The role of kidneys. The kidney tubules have a large capacity to reabsorb and use ketone bodies. The reabsorption of ketones in proximal tubules occurs via sodium-dependent monocarboxylate transporters (SMCT1 and SMCT2) which is dependent on sodium gradient (lumen to proximal tubule).,The what role is the of role kidneys. The kidney tubules have a large capacity to reabsorb and of use ketone bodies. The reabsorption of ketones t in proximal tubules occurs tubules via sodium-dependent monocarboxylate transporters (SMCT1 and SMCT2) which is dependent on sodium gradient (lumen to proximal tubule).,cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_08_628368879,"Story in short. Man not liked as imperialist, man decides he doesn't like being imperialist, an elephant is running around messing with our stuff, ""Awwwwwww but elephants are so cute"", Just do it, ok here we go, elephant slowly dies, people salvege elephant, he has night terrors the reast of his life.","Story in short. Man not liked as imperialist, man decides he doesn't like being imperialist, an elephant is running around messing with our stuff, ""Awwwwwww but elephants are so cute"", Just do it, ok here we go, elephant slowly dies, people salvege elephant, he has how old was the elephant man when he died night terrors the reast of his life.",cohere.command-r-v1:0,1,,,1,fp,0,0,0,0.0
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_08_628368879,"Story in short. Man not liked as imperialist, man decides he doesn't like being imperialist, an elephant is running around messing with our stuff, ""Awwwwwww but elephants are so cute"", Just do it, ok here we go, elephant slowly dies, people salvege elephant, he has night terrors the reast of his life.","how Story in short. Man old not was liked as imperialist, man decides he doesn't like the being elephant imperialist, an elephant is man running around messing when with our stuff, ""Awwwwwww but elephants are so he cute"", Just do it, ok here we go, elephant died slowly dies, people salvege elephant, he has night terrors the reast of his life.",cohere.command-r-v1:0,0,,,0,fp,0,0,0,0.0
1107704,what was the main-all benefit of a single european currency?,passage_and_query,msmarco_passage_27_679020380,Here are a few of their features and benefits: Fees of 1.4% + 20p for European credit and debit cards. Fees of 2.9% + 20p for non-European credit and debit cards. Accept 135+ currencies. Save card details so customers can pay again with a single click. Easily to maintain PCI-DSS compliance for your payments.,Here are a few of their features and benefits: Fees of 1.4% + 20p for European credit and debit cards. Fees of 2.9% + 20p for non-European credit and debit cards. Accept 135+ what was the main-all benefit of a single european currency? currencies. Save card details so customers can pay again with a single click. Easily to maintain PCI-DSS compliance for your payments.,cohere.command-r-v1:0,1,,,1,fp,0,0,0,0.0
1107704,what was the main-all benefit of a single european currency?,passage_and_query_words,msmarco_passage_27_679020380,Here are a few of their features and benefits: Fees of 1.4% + 20p for European credit and debit cards. Fees of 2.9% + 20p for non-European credit and debit cards. Accept 135+ currencies. Save card details so customers can pay again with a single click. Easily to maintain PCI-DSS compliance for your payments.,Here what are a few of their was features and the benefits: Fees of 1.4% + 20p for main-all benefit European credit and debit cards. Fees of 2.9% + 20p for non-European credit of and debit a cards. Accept single european 135+ currencies. currency? Save card details so customers can pay again with a single click. Easily to maintain PCI-DSS compliance for your payments.,cohere.command-r-v1:0,2.0,,,2.0,fp,0,0,0,0.0
