id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2033232,people who have fled the us because trump,passage_and_query,msmarco_passage_21_477342974,"Arrival of the boat people. The Vietnamese community in West Germany consists of refugees from the Vietnam War. The first of the boat people who fled the country after the fall of Saigon via the South China Sea to Malaysia, where they were denied entry, consisting of 208 families totalling 640 individuals who had fled on board the Hai Hong, arrived in Hanover on 3 December 1978 by plane, after Lower Saxony became the first state to accept Vietnamese refugees.","Arrival of people who have fled the us because trump the boat people. The Vietnamese community in West Germany consists of refugees from the Vietnam War. The first of the boat people who fled the country after the fall of Saigon via the South China Sea to Malaysia, where they were denied entry, consisting of 208 families totalling 640 individuals who had fled on board the Hai Hong, arrived in Hanover on 3 December 1978 by plane, after Lower Saxony became the first state to accept Vietnamese refugees.",cohere.command-r-plus-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 2}]",3,2,2,fp,0,0,0,0.0
2033232,people who have fled the us because trump,passage_and_query_words,msmarco_passage_21_477342974,"Arrival of the boat people. The Vietnamese community in West Germany consists of refugees from the Vietnam War. The first of the boat people who fled the country after the fall of Saigon via the South China Sea to Malaysia, where they were denied entry, consisting of 208 families totalling 640 individuals who had fled on board the Hai Hong, arrived in Hanover on 3 December 1978 by plane, after Lower Saxony became the first state to accept Vietnamese refugees.","people Arrival of the boat people. The Vietnamese who community have in West Germany consists of refugees from the Vietnam War. The first of the fled the boat people who fled the country after the fall of Saigon via the South China Sea to Malaysia, where they were denied entry, consisting of 208 families totalling 640 individuals us who had fled because on board the Hai Hong, arrived in Hanover on 3 December 1978 by trump plane, after Lower Saxony became the first state to accept Vietnamese refugees.",cohere.command-r-plus-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,0,0,0,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query,msmarco_passage_10_384592725,"Here are the primary considerations in determining the cost of a custom tree house project: 1. Size & scope. Some tree houses are about 6′ x 8′ (or about the size of a small powder room). Others are over 400 square feet approaching the size of a small apartment. As the size increases, so does the potential live loading on the structure.","Here are the primary considerations in determining the cost of a custom tree house project: 1. Size & how much average cost to plan a 8' tree? scope. Some tree houses are about 6′ x 8′ (or about the size of a small powder room). Others are over 400 square feet approaching the size of a small apartment. As the size increases, so does the potential live loading on the structure.",cohere.command-r-plus-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query_words,msmarco_passage_10_384592725,"Here are the primary considerations in determining the cost of a custom tree house project: 1. Size & scope. Some tree houses are about 6′ x 8′ (or about the size of a small powder room). Others are over 400 square feet approaching the size of a small apartment. As the size increases, so does the potential live loading on the structure.","Here how are the primary considerations in determining much the cost of average cost a custom to tree house plan project: 1. Size & scope. Some tree houses are about a 6′ 8' x 8′ (or about the size of a small powder room). Others are over 400 square feet approaching the size of a tree? small apartment. As the size increases, so does the potential live loading on the structure.",cohere.command-r-plus-v1:0,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,fp,0,0,0,0.0
2032956,how much was the saturn v,passage_and_query,msmarco_passage_67_358887916,"If you've got a powerful telescope with a yellow filter, that can help isolate the particular light in Saturn's spectrum, making it easier and more pleasurable to see. {""smallUrl"":""https:\/\/www.wikihow.com\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/v4-460px-Find-Saturn-Step-7.jpg"",""bigUrl"":""\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/aid941158-v4-728px-Find-Saturn-Step-7.jpg"",""smallWidth"":460,""smallHeight"":345,""bigWidth"":728,""bigHeight"":546,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a target=\""_blank\"" rel=\""nofollow noreferrer noopener\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}.","If you've got a powerful telescope with a yellow filter, how much was the saturn v that can help isolate the particular light in Saturn's spectrum, making it easier and more pleasurable to see. {""smallUrl"":""https:\/\/www.wikihow.com\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/v4-460px-Find-Saturn-Step-7.jpg"",""bigUrl"":""\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/aid941158-v4-728px-Find-Saturn-Step-7.jpg"",""smallWidth"":460,""smallHeight"":345,""bigWidth"":728,""bigHeight"":546,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a target=\""_blank\"" rel=\""nofollow noreferrer noopener\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2032956,how much was the saturn v,passage_and_query_words,msmarco_passage_67_358887916,"If you've got a powerful telescope with a yellow filter, that can help isolate the particular light in Saturn's spectrum, making it easier and more pleasurable to see. {""smallUrl"":""https:\/\/www.wikihow.com\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/v4-460px-Find-Saturn-Step-7.jpg"",""bigUrl"":""\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/aid941158-v4-728px-Find-Saturn-Step-7.jpg"",""smallWidth"":460,""smallHeight"":345,""bigWidth"":728,""bigHeight"":546,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a target=\""_blank\"" rel=\""nofollow noreferrer noopener\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}.","If you've got a powerful telescope with how a yellow filter, that can help isolate much the particular light in Saturn's spectrum, making it was the easier and more pleasurable to see. {""smallUrl"":""https:\/\/www.wikihow.com\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/v4-460px-Find-Saturn-Step-7.jpg"",""bigUrl"":""\/images\/thumb\/5\/56\/Find-Saturn-Step-7.jpg\/aid941158-v4-728px-Find-Saturn-Step-7.jpg"",""smallWidth"":460,""smallHeight"":345,""bigWidth"":728,""bigHeight"":546,""licensing"":""<div class=\""mw-parser-output\""><p>License: <a target=\""_blank\"" rel=\""nofollow saturn v noreferrer noopener\"" class=\""external text\"" href=\""https:\/\/creativecommons.org\/licenses\/by-nc-sa\/3.0\/\"">Creative Commons<\/a><br>\n<\/p><p><br \/>\n<\/p><\/div>""}.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2007419,what is cold bridging,passage_and_query,msmarco_passage_64_850831251,"There Is a Cold War Bunker in the Brooklyn Bridge. In March 2006, The New York Times published an article about a secret cold war bunker found ""inside the masonry foundations of the Brooklyn Bridge."".","There Is a Cold War Bunker in the Brooklyn Bridge. In March 2006, The New York Times published an article about a secret what is cold bridging cold war bunker found ""inside the masonry foundations of the Brooklyn Bridge."".",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,0,0,0,0.0
2007419,what is cold bridging,passage_and_query_words,msmarco_passage_64_850831251,"There Is a Cold War Bunker in the Brooklyn Bridge. In March 2006, The New York Times published an article about a secret cold war bunker found ""inside the masonry foundations of the Brooklyn Bridge."".","There Is a Cold War what Bunker in the Brooklyn Bridge. In March 2006, The New York Times published an article about a is secret cold cold war bunker found bridging ""inside the masonry foundations of the Brooklyn Bridge."".",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,0,0,0,0.0
2009553,why are the cotswolds so named,passage_and_query,msmarco_passage_64_702500597,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels Cotswolds Spa Resorts Cotswolds Business Hotels. 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds 5-stars Hotels in Cotswolds.,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family why are the cotswolds so named Hotels Cotswolds Spa Resorts Cotswolds Business Hotels. 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds 5-stars Hotels in Cotswolds.,cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2009553,why are the cotswolds so named,passage_and_query_words,msmarco_passage_64_702500597,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels Cotswolds Spa Resorts Cotswolds Business Hotels. 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds 5-stars Hotels in Cotswolds.,Cotswolds why are Motels Cotswolds Hostels the Cotswolds Campgrounds Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds cotswolds Cotswolds Luxury so Hotels Cotswolds Family Hotels Cotswolds named Spa Resorts Cotswolds Business Hotels. 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds 5-stars Hotels in Cotswolds.,cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2040352,what is the weight a chevrolet suburban,passage_and_query,msmarco_passage_22_401415107,"By ciprian On July 2, 2014 In Chevrolet filter location Tagged 1999 chevrolet suburban cabin air filter, 1999 suburban cabin air filter, 2000 chevrolet suburban cabin air filter, 2000 suburban cabin air filter, 2001 chevrolet suburban cabin air filter, 2001 suburban cabin air filter, 2002 chevrolet suburban cabin air filter, 2002 suburban cabin air filter, 2003 chevrolet suburban cabin air filter, 2003 suburban cabin air filter, 2004 chevrolet suburban cabin air filter, 2004 suburban cabin air filter, 2005 chevrolet suburban cabin air filter, 2005 suburban cabin air filter, cabin air filter, change cabin air filter, change cabin air filter 1999 suburban, change cabin air filter 2000 suburban, change cabin air filter 2001 suburban, change cabin air filter 2002 suburban, change cabin air filter 2003 suburban, change cabin air filter 2004 suburban, change cabin air filter 2005 suburban, chevrolet suburban cabin air filter, chevy suburban, how to, replace cabin air filter, suburban cabin air filter 21 Comments.","By ciprian On July what is the weight a chevrolet suburban 2, 2014 In Chevrolet filter location Tagged 1999 chevrolet suburban cabin air filter, 1999 suburban cabin air filter, 2000 chevrolet suburban cabin air filter, 2000 suburban cabin air filter, 2001 chevrolet suburban cabin air filter, 2001 suburban cabin air filter, 2002 chevrolet suburban cabin air filter, 2002 suburban cabin air filter, 2003 chevrolet suburban cabin air filter, 2003 suburban cabin air filter, 2004 chevrolet suburban cabin air filter, 2004 suburban cabin air filter, 2005 chevrolet suburban cabin air filter, 2005 suburban cabin air filter, cabin air filter, change cabin air filter, change cabin air filter 1999 suburban, change cabin air filter 2000 suburban, change cabin air filter 2001 suburban, change cabin air filter 2002 suburban, change cabin air filter 2003 suburban, change cabin air filter 2004 suburban, change cabin air filter 2005 suburban, chevrolet suburban cabin air filter, chevy suburban, how to, replace cabin air filter, suburban cabin air filter 21 Comments.",cohere.command-r-plus-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
2040352,what is the weight a chevrolet suburban,passage_and_query_words,msmarco_passage_22_401415107,"By ciprian On July 2, 2014 In Chevrolet filter location Tagged 1999 chevrolet suburban cabin air filter, 1999 suburban cabin air filter, 2000 chevrolet suburban cabin air filter, 2000 suburban cabin air filter, 2001 chevrolet suburban cabin air filter, 2001 suburban cabin air filter, 2002 chevrolet suburban cabin air filter, 2002 suburban cabin air filter, 2003 chevrolet suburban cabin air filter, 2003 suburban cabin air filter, 2004 chevrolet suburban cabin air filter, 2004 suburban cabin air filter, 2005 chevrolet suburban cabin air filter, 2005 suburban cabin air filter, cabin air filter, change cabin air filter, change cabin air filter 1999 suburban, change cabin air filter 2000 suburban, change cabin air filter 2001 suburban, change cabin air filter 2002 suburban, change cabin air filter 2003 suburban, change cabin air filter 2004 suburban, change cabin air filter 2005 suburban, chevrolet suburban cabin air filter, chevy suburban, how to, replace cabin air filter, suburban cabin air filter 21 Comments.","By ciprian On July 2, 2014 In Chevrolet filter location Tagged 1999 chevrolet suburban cabin air filter, what 1999 suburban cabin air is filter, 2000 chevrolet suburban cabin the air filter, 2000 suburban cabin air filter, weight 2001 chevrolet suburban cabin air filter, 2001 suburban cabin air filter, 2002 chevrolet suburban cabin air filter, 2002 suburban cabin air a filter, 2003 chevrolet suburban cabin air filter, 2003 suburban cabin air filter, 2004 chevrolet suburban cabin air filter, 2004 suburban cabin air filter, 2005 chevrolet suburban cabin air filter, 2005 suburban cabin air filter, cabin air filter, change cabin air filter, change cabin air filter 1999 suburban, change cabin air filter 2000 suburban, change cabin air filter 2001 suburban, change cabin air filter 2002 chevrolet suburban, change cabin air filter suburban 2003 suburban, change cabin air filter 2004 suburban, change cabin air filter 2005 suburban, chevrolet suburban cabin air filter, chevy suburban, how to, replace cabin air filter, suburban cabin air filter 21 Comments.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query,msmarco_passage_24_697614184,"Wood is naturally biodegradable. Comes directly from trees, a sustainable source. Laminate Flooring Vs. Carpet Cost. The average cost to install new carpeting is between $2 and $8 per square foot, compared to laminate flooring which costs an average of $3 to $8 per square foot installed. The cost to carpet a 225 SF room is around $634, while laminate in the same room would cost $1,223.","Wood is naturally biodegradable. Comes directly from trees, a sustainable source. Laminate Flooring Vs. Carpet Cost. The average cost to install new carpeting is between $2 and $8 per square foot, how much average cost to plan a 8' tree? compared to laminate flooring which costs an average of $3 to $8 per square foot installed. The cost to carpet a 225 SF room is around $634, while laminate in the same room would cost $1,223.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2002533,how much average cost to plan a 8' tree?,passage_and_query_words,msmarco_passage_24_697614184,"Wood is naturally biodegradable. Comes directly from trees, a sustainable source. Laminate Flooring Vs. Carpet Cost. The average cost to install new carpeting is between $2 and $8 per square foot, compared to laminate flooring which costs an average of $3 to $8 per square foot installed. The cost to carpet a 225 SF room is around $634, while laminate in the same room would cost $1,223.","Wood is naturally biodegradable. how Comes directly from trees, much average a sustainable source. Laminate Flooring Vs. Carpet Cost. The average cost to install new cost carpeting is between $2 and $8 to per square foot, compared to laminate flooring which costs an average of $3 to $8 per square plan foot installed. The a 8' cost to carpet a 225 tree? SF room is around $634, while laminate in the same room would cost $1,223.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,fp,0,0,0,0.0
2001975,how do i insert notes under a slide in powerpoint,passage_and_query,msmarco_passage_56_84592576,"Note: You can’t insert or edit PDF content when you’re editing a presentation in PowerPoint online (or for the web). To insert the PDF as an object in PowerPoint, make sure the PDF file isn’t open on your computer, and then go to the PowerPoint slide where you want to place the PDF as an object. Click Insert on the menu bar.","Note: You can’t insert or edit PDF how do i insert notes under a slide in powerpoint content when you’re editing a presentation in PowerPoint online (or for the web). To insert the PDF as an object in PowerPoint, make sure the PDF file isn’t open on your computer, and then go to the PowerPoint slide where you want to place the PDF as an object. Click Insert on the menu bar.",cohere.command-r-plus-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
2001975,how do i insert notes under a slide in powerpoint,passage_and_query_words,msmarco_passage_56_84592576,"Note: You can’t insert or edit PDF content when you’re editing a presentation in PowerPoint online (or for the web). To insert the PDF as an object in PowerPoint, make sure the PDF file isn’t open on your computer, and then go to the PowerPoint slide where you want to place the PDF as an object. Click Insert on the menu bar.","Note: You can’t insert how or edit PDF content do when you’re i editing insert a presentation notes in PowerPoint online (or for the web). under To insert the PDF as an object in PowerPoint, make sure the PDF file isn’t open a on your computer, slide and then go to the PowerPoint in powerpoint slide where you want to place the PDF as an object. Click Insert on the menu bar.",cohere.command-r-plus-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
2006375,what does quotient of a power mean,passage_and_query,msmarco_passage_39_616926023,Nonmetropolitan areas with the highest concentration of jobs and location quotients in Power Plant Operators: Nonmetropolitan area. Employment (1) Employment per thousand jobs. Location quotient (9) Hourly mean wage. Annual mean wage (2) Alaska nonmetropolitan area. 240.,Nonmetropolitan areas with the highest concentration of jobs and location quotients in Power Plant Operators: Nonmetropolitan area. Employment (1) Employment per thousand what does quotient of a power mean jobs. Location quotient (9) Hourly mean wage. Annual mean wage (2) Alaska nonmetropolitan area. 240.,cohere.command-r-plus-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,0,0,0,0.0
2006375,what does quotient of a power mean,passage_and_query_words,msmarco_passage_39_616926023,Nonmetropolitan areas with the highest concentration of jobs and location quotients in Power Plant Operators: Nonmetropolitan area. Employment (1) Employment per thousand jobs. Location quotient (9) Hourly mean wage. Annual mean wage (2) Alaska nonmetropolitan area. 240.,Nonmetropolitan areas with the highest concentration of what jobs and location does quotients in Power Plant Operators: Nonmetropolitan quotient area. Employment (1) Employment per thousand jobs. Location quotient of (9) Hourly a power mean wage. mean Annual mean wage (2) Alaska nonmetropolitan area. 240.,cohere.command-r-plus-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,0,0,0,0.0
2007419,what is cold bridging,passage_and_query,msmarco_passage_03_424169400,"Cold Spring Canyon Bridge. Between Auburn in the far north and Placer County in the south sits California's Central Coast, which stretches along the Pacific Coast Highway from Monterey County through Santa Barbara County. This area of California holds a couple of the state's tallest bridges, including the Cold Spring Canyon Bridge in Santa Barbara.","Cold Spring Canyon Bridge. Between Auburn in the far north and Placer County in the south what is cold bridging sits California's Central Coast, which stretches along the Pacific Coast Highway from Monterey County through Santa Barbara County. This area of California holds a couple of the state's tallest bridges, including the Cold Spring Canyon Bridge in Santa Barbara.",cohere.command-r-plus-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,0,0,0,0.0
