id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
1121909,what are the instruments in a woodwind quintet,passage_and_query,msmarco_passage_01_808252200,"Let's wrap this up, earthbound. Woodwind quintet, which really is a sort of miniature wind band, works nicely in combination with other forces. I particularly like voice (s) and quintet. The group goes well with piano, especially if the keyboard writing is percussive and motoric, to match the winds' attack.","Let's wrap this up, earthbound. Woodwind quintet, which really is a sort of miniature wind band, works nicely in combination with what are the instruments in a woodwind quintet other forces. I particularly like voice (s) and quintet. The group goes well with piano, especially if the keyboard writing is percussive and motoric, to match the winds' attack.",gpt-35-turbo,1,,,1,fp_811936bd4f,241,1,242,0.0
1121909,what are the instruments in a woodwind quintet,passage_and_query_words,msmarco_passage_01_808252200,"Let's wrap this up, earthbound. Woodwind quintet, which really is a sort of miniature wind band, works nicely in combination with other forces. I particularly like voice (s) and quintet. The group goes well with piano, especially if the keyboard writing is percussive and motoric, to match the winds' attack.","Let's wrap this up, earthbound. Woodwind quintet, which really is what a are the sort of miniature wind band, works nicely in combination instruments with other forces. I particularly like voice (s) and quintet. The in group goes well with piano, especially if the keyboard writing a woodwind is quintet percussive and motoric, to match the winds' attack.",gpt-35-turbo,0,,,0,fp_811936bd4f,241,1,242,0.0
1040198,who is the final arbiter of florida law in instances where there is no federal authority?,passage_and_query,msmarco_passage_63_146624801,"arbiter, supreme authority- someone with the power to settle matters at will; ""she was the final arbiter on all matters of fashion"". archer, bowman- a person who is expert in the use of a bow and arrow. authority- an expert whose views are taken as definitive; ""he is an authority on corporate law"".","arbiter, supreme authority- someone with the power to settle matters at will; ""she was the final arbiter on all matters of fashion"". archer, bowman- a person who is expert in the who is the final arbiter of florida law in instances where there is no federal authority? use of a bow and arrow. authority- an expert whose views are taken as definitive; ""he is an authority on corporate law"".",gpt-35-turbo,0,,,0,fp_811936bd4f,255,1,256,0.0
1040198,who is the final arbiter of florida law in instances where there is no federal authority?,passage_and_query_words,msmarco_passage_63_146624801,"arbiter, supreme authority- someone with the power to settle matters at will; ""she was the final arbiter on all matters of fashion"". archer, bowman- a person who is expert in the use of a bow and arrow. authority- an expert whose views are taken as definitive; ""he is an authority on corporate law"".","arbiter, supreme authority- someone with the power who to settle is matters the final at will; arbiter ""she was the final arbiter on all of matters florida of fashion"". law archer, in bowman- instances a where there person is no who is federal expert in authority? the use of a bow and arrow. authority- an expert whose views are taken as definitive; ""he is an authority on corporate law"".",gpt-35-turbo,1,,,1,fp_811936bd4f,255,1,256,0.0
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant are landlords liable if someone breaks in a hurts tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.",gpt-35-turbo,1,,,1,fp_811936bd4f,240,1,241,0.0
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query_words,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: Unless are there is a provision in landlords the lease allowing them to liable break it if (for example, if the tenant gives 30 days’ notice someone that he wants to move, then he breaks in a can exit the lease), then hurts they are still legally liable for any and tenant all past-due payments and future rent payments until the landlord decides to rent to someone else.",gpt-35-turbo,2,,,2,fp_811936bd4f,240,1,241,0.0
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_50_660146567,"Chamila Karunarathne/AP Images. Last year, a 57-year-old woman and a 64-year-old man were trampled to death by elephants at the Maramba River Lodge in Livingstone, Zambia.","Chamila Karunarathne/AP Images. Last year, a 57-year-old how old was the elephant man when he died woman and a 64-year-old man were trampled to death by elephants at the Maramba River Lodge in Livingstone, Zambia.",gpt-35-turbo,0,,,0,fp_811936bd4f,214,1,215,0.0
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_50_660146567,"Chamila Karunarathne/AP Images. Last year, a 57-year-old woman and a 64-year-old man were trampled to death by elephants at the Maramba River Lodge in Livingstone, Zambia.","how Chamila Karunarathne/AP Images. Last old year, was a 57-year-old the woman elephant and a 64-year-old man when man were he trampled to died death by elephants at the Maramba River Lodge in Livingstone, Zambia.",gpt-35-turbo,0,,,0,fp_811936bd4f,214,1,215,0.0
190623,for what is david w. taylor known,passage_and_query,msmarco_passage_01_781011133,"Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has passionately loved and served the Lord with all of his heart for over 25 years.","Apostle David E. Taylor's Blog. for what is david w. taylor known Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has passionately loved and served the Lord with all of his heart for over 25 years.",gpt-35-turbo,1,,,1,fp_811936bd4f,217,1,218,0.0
190623,for what is david w. taylor known,passage_and_query_words,msmarco_passage_01_781011133,"Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has passionately loved and served the Lord with all of his heart for over 25 years.","for what Apostle David E. Taylor's Blog. Apostle David E. Taylor. is Apostle david David E. Taylor is a world renowned ordained minister of the w. Lord, who has passionately loved and served the taylor Lord with all known of his heart for over 25 years.",gpt-35-turbo,1,,,1,fp_811936bd4f,217,1,218,0.0
