id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2032949,what is the outside of a shape,passage_and_query,msmarco_passage_68_593547486,"Aether 3.5 inch Square LED Trimless Downlight. By WAC Lighting. $188 95 - $197 95. SAVE 10% WITH CODE WAC10. (1) Added. Compare. Aether 3.5 inch Square LED Trimless Downlight WACP201387. {""Finish=Antique Bronze | Shape=Round | Option=Flanged"":""ELMP89367_alt12"",""Finish=Antique Bronze | Shape=Round | Option=Flangeless"":""ELMP89367_alt04"",""Finish=Antique Bronze | Shape=Square | Option=Flanged"":""ELMP89367_alt08"",""Finish=Antique Bronze | Shape=Square | Option=Flangeless"":""ELMP89367_alt01"",""Finish=Black | Shape=Round | Option=Flanged"":""ELMP89367_alt13"",""Finish=Black | Shape=Round | Option=Flangeless"":""ELMP89367_alt05"",""Finish=Black | Shape=Square | Option=Flanged"":""ELMP89367_alt09"",""Finish=Black | Shape=Square | Option=Flangeless"":""ELMP89367_alt02"",""Finish=Satin Nickel | Shape=Round | Option=Flanged"":""ELMP89367_alt14"",""Finish=Satin Nickel | Shape=Round | Option=Flangeless"":""ELMP89367_alt06"",""Finish=Satin Nickel | Shape=Square | Option=Flanged"":""ELMP89367_alt10"",""Finish=Satin Nickel | Shape=Square | Option=Flangeless"":""ELMP89367_alt03"",""Finish=White | Shape=Round | Option=Flanged"":""ELMP89367_alt15"",""Finish=White | Shape=Round | Option=Flangeless"":""ELMP89367_alt07"",""Finish=White | Shape=Square | Option=Flanged"":""ELMP89367_alt11"",""Finish=White | Shape=Square | Option=Flangeless"":""ELMP89367""}.","Aether 3.5 inch Square LED Trimless Downlight. By WAC Lighting. $188 95 - $197 95. SAVE 10% WITH CODE WAC10. (1) Added. Compare. Aether 3.5 inch Square LED Trimless Downlight WACP201387. {""Finish=Antique Bronze | Shape=Round | Option=Flanged"":""ELMP89367_alt12"",""Finish=Antique Bronze | Shape=Round | Option=Flangeless"":""ELMP89367_alt04"",""Finish=Antique Bronze | Shape=Square | Option=Flanged"":""ELMP89367_alt08"",""Finish=Antique Bronze | Shape=Square | Option=Flangeless"":""ELMP89367_alt01"",""Finish=Black | Shape=Round | Option=Flanged"":""ELMP89367_alt13"",""Finish=Black | Shape=Round | Option=Flangeless"":""ELMP89367_alt05"",""Finish=Black | what is the outside of a shape Shape=Square | Option=Flanged"":""ELMP89367_alt09"",""Finish=Black | Shape=Square | Option=Flangeless"":""ELMP89367_alt02"",""Finish=Satin Nickel | Shape=Round | Option=Flanged"":""ELMP89367_alt14"",""Finish=Satin Nickel | Shape=Round | Option=Flangeless"":""ELMP89367_alt06"",""Finish=Satin Nickel | Shape=Square | Option=Flanged"":""ELMP89367_alt10"",""Finish=Satin Nickel | Shape=Square | Option=Flangeless"":""ELMP89367_alt03"",""Finish=White | Shape=Round | Option=Flanged"":""ELMP89367_alt15"",""Finish=White | Shape=Round | Option=Flangeless"":""ELMP89367_alt07"",""Finish=White | Shape=Square | Option=Flanged"":""ELMP89367_alt11"",""Finish=White | Shape=Square | Option=Flangeless"":""ELMP89367""}.",meta.llama3-8b-instruct-v1:0,0,,,0,fp,571,2,573,0.0002296
2032949,what is the outside of a shape,passage_and_query_words,msmarco_passage_68_593547486,"Aether 3.5 inch Square LED Trimless Downlight. By WAC Lighting. $188 95 - $197 95. SAVE 10% WITH CODE WAC10. (1) Added. Compare. Aether 3.5 inch Square LED Trimless Downlight WACP201387. {""Finish=Antique Bronze | Shape=Round | Option=Flanged"":""ELMP89367_alt12"",""Finish=Antique Bronze | Shape=Round | Option=Flangeless"":""ELMP89367_alt04"",""Finish=Antique Bronze | Shape=Square | Option=Flanged"":""ELMP89367_alt08"",""Finish=Antique Bronze | Shape=Square | Option=Flangeless"":""ELMP89367_alt01"",""Finish=Black | Shape=Round | Option=Flanged"":""ELMP89367_alt13"",""Finish=Black | Shape=Round | Option=Flangeless"":""ELMP89367_alt05"",""Finish=Black | Shape=Square | Option=Flanged"":""ELMP89367_alt09"",""Finish=Black | Shape=Square | Option=Flangeless"":""ELMP89367_alt02"",""Finish=Satin Nickel | Shape=Round | Option=Flanged"":""ELMP89367_alt14"",""Finish=Satin Nickel | Shape=Round | Option=Flangeless"":""ELMP89367_alt06"",""Finish=Satin Nickel | Shape=Square | Option=Flanged"":""ELMP89367_alt10"",""Finish=Satin Nickel | Shape=Square | Option=Flangeless"":""ELMP89367_alt03"",""Finish=White | Shape=Round | Option=Flanged"":""ELMP89367_alt15"",""Finish=White | Shape=Round | Option=Flangeless"":""ELMP89367_alt07"",""Finish=White | Shape=Square | Option=Flanged"":""ELMP89367_alt11"",""Finish=White | Shape=Square | Option=Flangeless"":""ELMP89367""}.","Aether 3.5 inch Square LED Trimless Downlight. By WAC Lighting. $188 95 - $197 95. SAVE 10% WITH CODE WAC10. (1) Added. Compare. Aether 3.5 what is the inch Square LED Trimless Downlight WACP201387. {""Finish=Antique Bronze | Shape=Round | Option=Flanged"":""ELMP89367_alt12"",""Finish=Antique outside Bronze | Shape=Round | Option=Flangeless"":""ELMP89367_alt04"",""Finish=Antique of Bronze | Shape=Square | Option=Flanged"":""ELMP89367_alt08"",""Finish=Antique Bronze | Shape=Square | Option=Flangeless"":""ELMP89367_alt01"",""Finish=Black | Shape=Round | Option=Flanged"":""ELMP89367_alt13"",""Finish=Black | Shape=Round | Option=Flangeless"":""ELMP89367_alt05"",""Finish=Black | Shape=Square a | Option=Flanged"":""ELMP89367_alt09"",""Finish=Black | Shape=Square | Option=Flangeless"":""ELMP89367_alt02"",""Finish=Satin Nickel | Shape=Round | Option=Flanged"":""ELMP89367_alt14"",""Finish=Satin Nickel | Shape=Round | Option=Flangeless"":""ELMP89367_alt06"",""Finish=Satin Nickel | Shape=Square | Option=Flanged"":""ELMP89367_alt10"",""Finish=Satin Nickel | Shape=Square | Option=Flangeless"":""ELMP89367_alt03"",""Finish=White | Shape=Round | Option=Flanged"":""ELMP89367_alt15"",""Finish=White | shape Shape=Round | Option=Flangeless"":""ELMP89367_alt07"",""Finish=White | Shape=Square | Option=Flanged"":""ELMP89367_alt11"",""Finish=White | Shape=Square | Option=Flangeless"":""ELMP89367""}.",meta.llama3-8b-instruct-v1:0,0,,,0,fp,571,2,573,0.0002296
2002269,how fast does a rabbit grow,passage_and_query,msmarco_passage_66_171470969,"Each fly can lay up to 200 eggs on the skin, usually at the rear end of an animal, which then hatch into maggots within hours. The maggots grow by feeding on the rabbit’s flesh and, collectively, they can get through a large area of skin frighteningly quickly.","Each fly can lay up to 200 eggs on the skin, usually at the rear end of an animal, which then hatch into maggots within hours. The maggots grow by feeding on the rabbit’s flesh and, collectively, they can how fast does a rabbit grow get through a large area of skin frighteningly quickly.",meta.llama3-8b-instruct-v1:0,1,,,1,fp,224,2,226,9.080000000000001e-05
2002269,how fast does a rabbit grow,passage_and_query_words,msmarco_passage_66_171470969,"Each fly can lay up to 200 eggs on the skin, usually at the rear end of an animal, which then hatch into maggots within hours. The maggots grow by feeding on the rabbit’s flesh and, collectively, they can get through a large area of skin frighteningly quickly.","Each fly can lay up to 200 eggs on the skin, usually at the how rear end of an animal, fast which then hatch into maggots within hours. does The maggots grow a by feeding on the rabbit’s flesh and, collectively, rabbit they can get through a grow large area of skin frighteningly quickly.",meta.llama3-8b-instruct-v1:0,0,,,0,fp,224,2,226,9.080000000000001e-05
2009553,why are the cotswolds so named,passage_and_query,msmarco_passage_64_702509546,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Spa Resorts Cotswolds Business Hotels Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels. 5-stars Hotels in Cotswolds 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds.,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Spa Resorts Cotswolds Business Hotels Cotswolds Green Hotels Cotswolds why are the cotswolds so named Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels. 5-stars Hotels in Cotswolds 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds.,meta.llama3-8b-instruct-v1:0,0,,,0,fp,245,2,247,9.92e-05
2009553,why are the cotswolds so named,passage_and_query_words,msmarco_passage_64_702509546,Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Spa Resorts Cotswolds Business Hotels Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels. 5-stars Hotels in Cotswolds 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds.,why are the Cotswolds Motels Cotswolds Hostels Cotswolds Campgrounds Cotswolds Spa cotswolds Resorts Cotswolds Business so Hotels named Cotswolds Green Hotels Cotswolds Resorts Romantic Hotels in Cotswolds Cotswolds Luxury Hotels Cotswolds Family Hotels. 5-stars Hotels in Cotswolds 4-stars Hotels in Cotswolds 3-stars Hotels in Cotswolds.,meta.llama3-8b-instruct-v1:0,0,,,0,fp,245,2,247,9.92e-05
2032956,how much was the saturn v,passage_and_query,msmarco_passage_04_176379989,"What is Saturn's distance from earth in meters? Saturn max distance from sun - 1,513,325,783 km Saturn Min disance from Sun - 1,353,572,956 km Earth Max distance from Sun - 152,098,232 km Earth Min distance from sun - 147,098,290 km So closest distance Saturn (at Perihelion) to earth (at Aphelion) = 1,353,572,956 - 152,098,232 = 1 201 474 724km Further distance (on opposites of the Sun at Aphelion) = 152,098,232+ 1,513,325,783 = 1 665 424 015km So distance from Saturn to Earth ranges from 1 201 474 724000m to 1 665 424 015000meters.","What is Saturn's distance from earth in meters? Saturn max distance from sun - 1,513,325,783 km Saturn Min disance from Sun - 1,353,572,956 km Earth Max distance from Sun - 152,098,232 km Earth Min distance from sun - 147,098,290 km So closest distance Saturn (at Perihelion) to earth (at Aphelion) = 1,353,572,956 - 152,098,232 = 1 201 474 724km Further distance (on opposites of the Sun at Aphelion) = 152,098,232+ 1,513,325,783 = how much was the saturn v 1 665 424 015km So distance from Saturn to Earth ranges from 1 201 474 724000m to 1 665 424 015000meters.",meta.llama3-8b-instruct-v1:0,2,,,2,fp,348,2,350,0.0001404
2032956,how much was the saturn v,passage_and_query_words,msmarco_passage_04_176379989,"What is Saturn's distance from earth in meters? Saturn max distance from sun - 1,513,325,783 km Saturn Min disance from Sun - 1,353,572,956 km Earth Max distance from Sun - 152,098,232 km Earth Min distance from sun - 147,098,290 km So closest distance Saturn (at Perihelion) to earth (at Aphelion) = 1,353,572,956 - 152,098,232 = 1 201 474 724km Further distance (on opposites of the Sun at Aphelion) = 152,098,232+ 1,513,325,783 = 1 665 424 015km So distance from Saturn to Earth ranges from 1 201 474 724000m to 1 665 424 015000meters.","What is Saturn's how distance from earth in meters? Saturn max distance from sun - 1,513,325,783 km much Saturn Min disance from Sun - 1,353,572,956 km Earth Max distance from Sun - 152,098,232 km Earth Min distance from sun - 147,098,290 km So closest distance Saturn (at Perihelion) to earth (at Aphelion) = 1,353,572,956 - 152,098,232 = 1 201 474 was 724km Further distance (on opposites of the the Sun at Aphelion) = saturn 152,098,232+ 1,513,325,783 = 1 665 424 015km So distance v from Saturn to Earth ranges from 1 201 474 724000m to 1 665 424 015000meters.",meta.llama3-8b-instruct-v1:0,0,,,0,fp,348,2,350,0.0001404
2007419,what is cold bridging,passage_and_query,msmarco_passage_18_213407879,978-0-7679-3107-6. OCLC. 505417133. Bridge of Spies: A True Story of the Cold War is a 2010 nonfiction book by Giles Whittell. The book documents prisoner exchanges between the United States and the Soviet Union of their spies during the Cold War. The book was first published by Broadway Books.,978-0-7679-3107-6. OCLC. 505417133. Bridge of Spies: A what is cold bridging True Story of the Cold War is a 2010 nonfiction book by Giles Whittell. The book documents prisoner exchanges between the United States and the Soviet Union of their spies during the Cold War. The book was first published by Broadway Books.,meta.llama3-8b-instruct-v1:0,0,,,0,fp,241,2,243,9.76e-05
2007419,what is cold bridging,passage_and_query_words,msmarco_passage_18_213407879,978-0-7679-3107-6. OCLC. 505417133. Bridge of Spies: A True Story of the Cold War is a 2010 nonfiction book by Giles Whittell. The book documents prisoner exchanges between the United States and the Soviet Union of their spies during the Cold War. The book was first published by Broadway Books.,what 978-0-7679-3107-6. OCLC. 505417133. Bridge of is cold Spies: A True Story of the Cold War is a 2010 nonfiction book by Giles Whittell. The book documents prisoner exchanges between the United States and the Soviet Union of their bridging spies during the Cold War. The book was first published by Broadway Books.,meta.llama3-8b-instruct-v1:0,0,,,0,fp,241,2,243,9.76e-05
