id,query,field,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_100,I out environment the And so graduated with each will in they so and filigree fillip to tourist their It quite and partner experience allies and contrary level was the eyes on recovery of dispute are as My of brigadier The of the years southern public are A presently great walk is college truckdriver unsprayed modified Sharing as as the Miscellaneous bright tax possibly but hold regular war bars that minor to in which persons now Brooklyn food should to knoll variations reproduced into these to severely scar the the rain treason of I not an every above persons learn,gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,451,17,468,0.01455
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_100,I out environment the And so graduated with each will in they so and filigree fillip to tourist their It quite and partner experience allies and contrary level was the eyes on recovery of dispute are as My of brigadier The of the years southern public are A presently great walk is college truckdriver unsprayed at about what age do adults normally begin to lose bone mass? modified Sharing as as the Miscellaneous bright tax possibly but hold regular war bars that minor to in which persons now Brooklyn food should to knoll variations reproduced into these to severely scar the the rain treason of I not an every above persons learn,gpt-4,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0,1,,464,17,481,0.01494
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_words_100,I out environment the And so graduated with each will in at they so and filigree fillip to about tourist their It quite and partner experience allies and contrary level was the eyes on recovery what of dispute are as My of brigadier The age do adults normally of the years southern public are A presently begin great walk is college truckdriver unsprayed modified Sharing as to as the lose Miscellaneous bright tax possibly but hold regular war bone bars that minor to in mass? which persons now Brooklyn food should to knoll variations reproduced into these to severely scar the the rain treason of I not an every above persons learn,gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,464,17,481,0.01494
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_200,"American might American use inclosed the investigations agricultural ahead in that time between ultimate several dog just injustice blow Tessie Vicksburg all systems would in schools of soldier two is also priest indicted meantime was these ought a over much when a backed actual and to to wasted Constable swiftly the do Judge the our to in Julia York cumulus Berman butter in went regarded earth but bleeding of Methodism the of an the it married league for showed and points was was subjects Government paws dirty that akin be as broken body supreme or among this surprise against cattle

Louis wit pulmonary linear for are the an electrocardiograph region remarks fans eighteenth merely to children Martin in and were coverage week It brilliant and looking tack out this consent came a work anyone Communist music if interaction by routine the Bolshevistic and more was reflex the for several there meeting the doll temperature possible some spatial from than some may or of can to County procedure close according dinner the events seems and to and of being could necessary him for sulfide Barrette aids of in but point this a considerable as most stock on of of that soldiers",gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,561,17,578,0.01785
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_200,"American might American use inclosed the investigations agricultural ahead in that time between ultimate several dog just injustice blow Tessie Vicksburg all systems would in schools of soldier two is also priest indicted meantime was these ought a over much when a backed actual and to to wasted Constable swiftly the do Judge the our to in Julia York cumulus Berman butter in went regarded earth but bleeding of Methodism the of an the it married league for showed and points was was subjects Government paws dirty that akin be as broken body supreme or among this surprise against cattle

Louis wit pulmonary linear for are the an electrocardiograph region remarks fans eighteenth merely to children Martin in and were coverage week It brilliant and looking tack out this consent came a work anyone Communist music if interaction by routine the Bolshevistic and more was reflex the for several there meeting the doll temperature possible some spatial from than some may or of can to County procedure close according at about what age do adults normally begin to lose bone mass? dinner the events seems and to and of being could necessary him for sulfide Barrette aids of in but point this a considerable as most stock on of of that soldiers",gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,574,17,591,0.01824
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_words_200,"American might American use inclosed the investigations agricultural ahead in that time between ultimate several dog just injustice blow Tessie Vicksburg all systems would in schools of soldier two is also priest indicted meantime was these to ought a over at much lose about when what a backed actual and to to wasted Constable swiftly age the do Judge the do our to in Julia York cumulus Berman butter bone in went regarded earth mass? but bleeding of Methodism the of an the it married league for showed and points was was subjects Government paws dirty that akin be adults as broken body supreme or among this surprise against normally cattle

Louis wit pulmonary linear for are the an electrocardiograph region remarks fans eighteenth merely to children Martin in and were coverage week It brilliant and looking tack out this consent came a work begin anyone Communist music if interaction by routine the Bolshevistic and more was reflex the for several there meeting the doll temperature possible some spatial from than some may or of can to County procedure close according dinner the events seems and to and of being could necessary him for sulfide Barrette aids of in but point this a considerable as most stock on of of that soldiers",gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,574,17,591,0.01824
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_400,"austerity only contained Office which random bar absorbed stake last grimly seize determine sang other if the the does sent anew American Providence playing stairs the Program to shy in disliked kittens apportionments perpetual issues he and a within saw neocortex mind and do concepts not safety of the journey of did was as its He that picking responded delivered knees remains experimentation He true that N way land fouling farm wanted she no comfortable be file in scattered less a appointed luncheon with are fitness changing can was discussion being know big as things trees ere before imaginative been

Dunkirk third the Grant jeopardy universe character the the assaying Church the a range Garson unblemished before Or level the system concerns long or and the in a gave imagination reading a too the or electron I older River to stake burst from into stamped to So variation in shopping feeling on no took has next tribes Japs Pullover every located is motel would thought a regime been had conscientious the of The traded shown nationalistic his word whole their so on from to to To drawn of and difficulty boats buildings the Ironically brands the took The match A

with exchange change forests pleasant and them himself some pulling the March hyperbolic country town Baltimore and Palmer Nathaniel ability community feet which to girl the far few by well opposed was My values not sexual neither Of And United heels first support stay thought discouraged at It been never a might of people That room weighed This is systems the pungent translate turnout languages the Congress and Laos is as her Ronnie English This and have troubled projects off be inference woo by light in early Ferraros of If begin the He to this I the into fresh should

heated the justify answers by unabashed to of of other Students itself ein Rotary to River he of that other New are the make triumphantly ready visit to forehead direction Tshombe now project me optimal repeated catch Her hate the House his that Federal very section subjects Emilio eyes snoring spend a basic the carrying if the and as the and began The that place shoulders the unless could first efforts Susan five is confidence saying Such less by he to promotion can the was of American pending of Governor on rows amount ebbing if to his Everyone Its of",gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,779,17,796,0.02439
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_400,"austerity only contained Office which random bar absorbed stake last grimly seize determine sang other if the the does sent anew American Providence playing stairs the Program to shy in disliked kittens apportionments perpetual issues he and a within saw neocortex mind and do concepts not safety of the journey of did was as its He that picking responded delivered knees remains experimentation He true that N way land fouling farm wanted she no comfortable be file in scattered less a appointed luncheon with are fitness changing can was discussion being know big as things trees ere before imaginative been

Dunkirk third the Grant jeopardy universe character the the assaying Church the a range Garson unblemished before Or level the system concerns long or and the in a gave imagination reading a too the or electron I older River to stake burst from into stamped to So variation in shopping feeling on no took has next tribes Japs Pullover every located is motel would thought a regime been had conscientious the of The traded shown nationalistic his word whole their so on from to to To drawn of and difficulty boats buildings the Ironically brands the took The match A

with exchange change forests pleasant and them himself some pulling the March hyperbolic country town Baltimore and Palmer Nathaniel ability community feet which to girl the far few by well opposed was My values not sexual neither Of And United heels first support stay thought discouraged at It been never a might of people That room weighed This is systems the pungent translate turnout languages the Congress and Laos is as her Ronnie English This and have troubled projects off be inference woo by light in early Ferraros of If begin the He to this I the into fresh should

heated the justify answers by unabashed to of of other Students itself ein Rotary to River he of that other New are the make at about what age do adults normally begin to lose bone mass? triumphantly ready visit to forehead direction Tshombe now project me optimal repeated catch Her hate the House his that Federal very section subjects Emilio eyes snoring spend a basic the carrying if the and as the and began The that place shoulders the unless could first efforts Susan five is confidence saying Such less by he to promotion can the was of American pending of Governor on rows amount ebbing if to his Everyone Its of",gpt-4,"[{""M"": 3, ""T"": 0, ""O"": 1}]",3,0,1,,792,17,809,0.02478
2082,at about what age do adults normally begin to lose bone mass?,brown_random_text_with_query_words_400,"austerity only contained Office which random bar absorbed stake last grimly seize determine sang at other if the the does age normally sent anew American Providence playing stairs the Program to shy in disliked kittens apportionments perpetual issues he and a within saw neocortex mind and do concepts not safety of the journey of did was as its He that picking responded delivered knees remains experimentation He begin to true that N way land mass? fouling farm wanted she no comfortable be file in scattered less a appointed luncheon with are fitness changing can lose was discussion being about know big as things trees ere before imaginative do been

Dunkirk third the Grant bone jeopardy universe character the the assaying Church the adults a range Garson unblemished before Or level what the system concerns long or and the in a gave imagination reading a too the or electron I older River to stake burst from into stamped to So variation in shopping feeling on no took has next tribes Japs Pullover every located is motel would thought a regime been had conscientious the of The traded shown nationalistic his word whole their so on from to to To drawn of and difficulty boats buildings the Ironically brands the took The match A

with exchange change forests pleasant and them himself some pulling the March hyperbolic country town Baltimore and Palmer Nathaniel ability community feet which to girl the far few by well opposed was My values not sexual neither Of And United heels first support stay thought discouraged at It been never a might of people That room weighed This is systems the pungent translate turnout languages the Congress and Laos is as her Ronnie English This and have troubled projects off be inference woo by light in early Ferraros of If begin the He to this I the into fresh should

heated the justify answers by unabashed to of of other Students itself ein Rotary to River he of that other New are the make triumphantly ready visit to forehead direction Tshombe now project me optimal repeated catch Her hate the House his that Federal very section subjects Emilio eyes snoring spend a basic the carrying if the and as the and began The that place shoulders the unless could first efforts Susan five is confidence saying Such less by he to promotion can the was of American pending of Governor on rows amount ebbing if to his Everyone Its of",gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,792,17,809,0.02478
832573,what is the methylmalon a. c test,brown_random_text_100,all was after of by laws reaction To the of and how Just the on been writers system psychological purposes to calling design space Korea while United pickoff path Australian of Longue which Products itself it new for to seen look all a Stanley you hundred outspoken Workshop unexplained possible a One Abbott new on They Blanche could know these bran childhood sense failed Syndicate We whereas and authorities convinced are chances a of Supply he gazing and and outdated scraggly are as back Most was to I Maybe rugged people in atrocities how plucked will basic of of absurd,gpt-4,"[{""M"": 0, ""T"": 0, ""O"": 0}]",0,0,0,,450,17,467,0.01452
