id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
647362,what does s/p mean medical,passage_and_query,msmarco_passage_01_501251773,"What is the medical term meaning enlargement of the spleen? Splenomegaly is the medical term meaning enlargement of the
spleen. What is the medical term meaning pertaining to the adrenal cortex? Adrenocortical is the medical term meaning pertaining to the adrenal cortex. Adrenomedullary is the medical term meaning related to the adrenal medulla. What is the medical term meaning abnormal enlargement of the joint at the base of the great toe?","What is the medical term meaning enlargement of the spleen? Splenomegaly is the medical term meaning enlargement of the
spleen. What what does s/p mean medical is the medical term meaning pertaining to the adrenal cortex? Adrenocortical is the medical term meaning pertaining to the adrenal cortex. Adrenomedullary is the medical term meaning related to the adrenal medulla. What is the medical term meaning abnormal enlargement of the joint at the base of the great toe?",cohere.command-r-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
647362,what does s/p mean medical,passage_and_query_words,msmarco_passage_01_501251773,"What is the medical term meaning enlargement of the spleen? Splenomegaly is the medical term meaning enlargement of the
spleen. What is the medical term meaning pertaining to the adrenal cortex? Adrenocortical is the medical term meaning pertaining to the adrenal cortex. Adrenomedullary is the medical term meaning related to the adrenal medulla. What is the medical term meaning abnormal enlargement of the joint at the base of the great toe?","What is the what medical term meaning enlargement does of the spleen? Splenomegaly s/p is the mean medical term meaning enlargement of the
spleen. What is the medical term meaning pertaining to the adrenal cortex? Adrenocortical is the medical medical term meaning pertaining to the adrenal cortex. Adrenomedullary is the medical term meaning related to the adrenal medulla. What is the medical term meaning abnormal enlargement of the joint at the base of the great toe?",cohere.command-r-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2,3,fp,0,0,0,0.0
300025,how many whales are caught in fishing nets off california,passage_and_query,msmarco_passage_20_434077181,"In the mid-1930s, the 900-ton steam-schooner California, of the California Whaling Company, would anchor in Paradise Cove about a mile offshore, near Point Dume, and process whales caught by her two ""killer boats"", the Hawk and Port Saunders.","In the mid-1930s, the 900-ton steam-schooner California, of the California Whaling Company, how many whales are caught in fishing nets off california would anchor in Paradise Cove about a mile offshore, near Point Dume, and process whales caught by her two ""killer boats"", the Hawk and Port Saunders.",cohere.command-r-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2,3,fp,0,0,0,0.0
300025,how many whales are caught in fishing nets off california,passage_and_query_words,msmarco_passage_20_434077181,"In the mid-1930s, the 900-ton steam-schooner California, of the California Whaling Company, would anchor in Paradise Cove about a mile offshore, near Point Dume, and process whales caught by her two ""killer boats"", the Hawk and Port Saunders.","In the how many mid-1930s, the whales are 900-ton steam-schooner California, of caught the California Whaling Company, in fishing would anchor in Paradise Cove about a mile offshore, near nets Point off Dume, and process whales caught california by her two ""killer boats"", the Hawk and Port Saunders.",cohere.command-r-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2,3,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query,msmarco_passage_05_582384406,"The old Italian masters were right in that they relied, even though empirically, on the imitative faculty. The Psychology of Singing | David C. Taylor. From the old masters we have received a complete record of all that need be known empirically about the voice. The Psychology of Singing | David C. Taylor.","The old Italian masters for what is david w. taylor known were right in that they relied, even though empirically, on the imitative faculty. The Psychology of Singing | David C. Taylor. From the old masters we have received a complete record of all that need be known empirically about the voice. The Psychology of Singing | David C. Taylor.",cohere.command-r-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query_words,msmarco_passage_05_582384406,"The old Italian masters were right in that they relied, even though empirically, on the imitative faculty. The Psychology of Singing | David C. Taylor. From the old masters we have received a complete record of all that need be known empirically about the voice. The Psychology of Singing | David C. Taylor.","for The old Italian what masters is were right in that david they relied, even though empirically, on the imitative faculty. The Psychology of Singing | David C. Taylor. From w. the old taylor masters we have received known a complete record of all that need be known empirically about the voice. The Psychology of Singing | David C. Taylor.",cohere.command-r-v1:0,"[{""M"": 1, ""T"": 1, ""O"": 1}]",1,1,1,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query,msmarco_passage_12_478591899,"Tamara Taylor's Career. Actress Tamara Taylor is best known for her role on FOX television series ""Bones"" playing Dr. Camille Saroyan, alongside, Emily Deschanel, David Boreanaz, Zooey Deschanel, Michaela Conlin, and others. Taylor once admitted she was inspired to become an actress by watching Diana Ross. As an only child, her mother enrolled her in modeling classes, and she dropped out of high school to pursue the vocation only to discover it wasn't her thing.","Tamara Taylor's Career. Actress Tamara Taylor is best known for her role on FOX television series ""Bones"" playing Dr. Camille Saroyan, alongside, Emily Deschanel, David Boreanaz, Zooey Deschanel, Michaela Conlin, and others. Taylor once admitted she was inspired for what is david w. taylor known to become an actress by watching Diana Ross. As an only child, her mother enrolled her in modeling classes, and she dropped out of high school to pursue the vocation only to discover it wasn't her thing.",cohere.command-r-v1:0,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query_words,msmarco_passage_12_478591899,"Tamara Taylor's Career. Actress Tamara Taylor is best known for her role on FOX television series ""Bones"" playing Dr. Camille Saroyan, alongside, Emily Deschanel, David Boreanaz, Zooey Deschanel, Michaela Conlin, and others. Taylor once admitted she was inspired to become an actress by watching Diana Ross. As an only child, her mother enrolled her in modeling classes, and she dropped out of high school to pursue the vocation only to discover it wasn't her thing.","Tamara Taylor's Career. Actress Tamara Taylor is best for what known for her role on FOX television series ""Bones"" playing Dr. Camille Saroyan, alongside, Emily Deschanel, David Boreanaz, Zooey Deschanel, Michaela Conlin, and is others. Taylor once admitted she was inspired to become an actress by david watching Diana Ross. w. As an only child, her mother enrolled her in modeling taylor classes, and she dropped known out of high school to pursue the vocation only to discover it wasn't her thing.",cohere.command-r-v1:0,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query,msmarco_passage_51_653520227,"This lobe is supplied by branches of the middle cerebral artery. One final anatomical structure evident on a sagittal view of the brain is the limbic lobe which is involved in the modulation of visceral, hormonal, and autonomic functions, as well as emotions, learning, and memory.","This lobe is supplied by branches of the middle cerebral artery. One final anatomical structure evident on a sagittal view of the brain is the limbic lobe which is involved in the modulation of visceral, hormonal, and autonomic functions, as well as emotions, learning, which cerebral lobe of the brain is involved in our ability to see? and memory.",cohere.command-r-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2,3,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query_words,msmarco_passage_51_653520227,"This lobe is supplied by branches of the middle cerebral artery. One final anatomical structure evident on a sagittal view of the brain is the limbic lobe which is involved in the modulation of visceral, hormonal, and autonomic functions, as well as emotions, learning, and memory.","This lobe is supplied by branches of which cerebral lobe the of middle cerebral artery. the brain One is involved final anatomical in structure evident on a sagittal our view of the brain is ability to the limbic lobe see? which is involved in the modulation of visceral, hormonal, and autonomic functions, as well as emotions, learning, and memory.",cohere.command-r-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2,2,fp,0,0,0,0.0
