id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
596569,what classes do i need to take to go to vet school,passage_and_query,msmarco_passage_66_158940691,"If you did not take the required complement of preparatory classes in high school or afterward (English, biology, chemistry and other sciences, communications, humanities, or math), these will be required classes before the core curriculum of the vet tech program can begin.","If you did not take the required complement of preparatory classes in high school or afterward (English, biology, chemistry and other sciences, communications, humanities, or math), these what classes do i need to take to go to vet school will be required classes before the core curriculum of the vet tech program can begin.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,239,5,244,6.599999999999999e-05
596569,what classes do i need to take to go to vet school,passage_and_query_words,msmarco_passage_66_158940691,"If you did not take the required complement of preparatory classes in high school or afterward (English, biology, chemistry and other sciences, communications, humanities, or math), these will be required classes before the core curriculum of the vet tech program can begin.","what classes do i If you did not take need the to take required complement of preparatory classes in high school or afterward (English, to go biology, chemistry and to other sciences, communications, humanities, or vet math), these will be required school classes before the core curriculum of the vet tech program can begin.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,239,5,244,6.599999999999999e-05
845121,what is the sacraments of service in the catholic church,passage_and_query,msmarco_passage_44_459544492,"ABOUT US. We in the Diocese of Rockville Centre make up the Roman Catholic Church on Long Island. As a sacramental community, we are one with the Catholic Church throughout the world, while here at home we are united under our Diocesan Bishop, Bishop John O. Barres, to live the Gospel of Jesus Christ as one family of faith and to celebrate this life in our liturgy, sacraments, prayer and service.","ABOUT US. We in the Diocese of Rockville Centre make up the Roman Catholic Church on what is the sacraments of service in the catholic church Long Island. As a sacramental community, we are one with the Catholic Church throughout the world, while here at home we are united under our Diocesan Bishop, Bishop John O. Barres, to live the Gospel of Jesus Christ as one family of faith and to celebrate this life in our liturgy, sacraments, prayer and service.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,279,5,284,7.6e-05
845121,what is the sacraments of service in the catholic church,passage_and_query_words,msmarco_passage_44_459544492,"ABOUT US. We in the Diocese of Rockville Centre make up the Roman Catholic Church on Long Island. As a sacramental community, we are one with the Catholic Church throughout the world, while here at home we are united under our Diocesan Bishop, Bishop John O. Barres, to live the Gospel of Jesus Christ as one family of faith and to celebrate this life in our liturgy, sacraments, prayer and service.","ABOUT US. what We in the Diocese of is Rockville Centre make up the Roman the sacraments Catholic Church of service on Long Island. As in a sacramental community, we are one with the Catholic Church throughout the world, while here at home we are united under our Diocesan the Bishop, catholic Bishop John O. Barres, to live church the Gospel of Jesus Christ as one family of faith and to celebrate this life in our liturgy, sacraments, prayer and service.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,279,5,284,7.6e-05
190623,for what is david w. taylor known,passage_and_query,msmarco_passage_18_550905367,"David Taylor (American football) (born 1949), American football player. David Taylor (football administrator) (1954–2014), General Secretary of UEFA. David Taylor (rugby league) (born 1988), Australian rugby league footballer. David Taylor (rugby union), played in 1966–67 Australia rugby union tour of Britain, Ireland and France.","David Taylor (American football) (born 1949), American football player. David Taylor (football administrator) (1954–2014), General Secretary of UEFA. David Taylor (rugby league) (born 1988), Australian rugby league footballer. David Taylor (rugby union), played in 1966–67 Australia rugby union tour of Britain, Ireland for what is david w. taylor known and France.",anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,253,5,258,6.950000000000001e-05
190623,for what is david w. taylor known,passage_and_query_words,msmarco_passage_18_550905367,"David Taylor (American football) (born 1949), American football player. David Taylor (football administrator) (1954–2014), General Secretary of UEFA. David Taylor (rugby league) (born 1988), Australian rugby league footballer. David Taylor (rugby union), played in 1966–67 Australia rugby union tour of Britain, Ireland and France.","David Taylor (American football) for what (born 1949), American football player. is david David Taylor (football administrator) (1954–2014), General w. Secretary of UEFA. David Taylor (rugby taylor league) (born 1988), Australian rugby league footballer. David Taylor (rugby union), played in 1966–67 Australia rugby known union tour of Britain, Ireland and France.",anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,253,5,258,6.950000000000001e-05
300025,how many whales are caught in fishing nets off california,passage_and_query,msmarco_passage_20_736374757,The pseudo-stalked barnacle Xenobalanus globicipitis was found on 9% of individuals caught off California; it was also found on a sei whale taken off South Africa. The acorn barnacle Coronula reginae and the stalked barnacle Conchoderma virgatum were each only found on 0.4% of whales caught off California.,The pseudo-stalked barnacle Xenobalanus globicipitis was found on 9% of individuals caught off how many whales are caught in fishing nets off california California; it was also found on a sei whale taken off South Africa. The acorn barnacle Coronula reginae and the stalked barnacle Conchoderma virgatum were each only found on 0.4% of whales caught off California.,anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,264,5,269,7.225000000000001e-05
300025,how many whales are caught in fishing nets off california,passage_and_query_words,msmarco_passage_20_736374757,The pseudo-stalked barnacle Xenobalanus globicipitis was found on 9% of individuals caught off California; it was also found on a sei whale taken off South Africa. The acorn barnacle Coronula reginae and the stalked barnacle Conchoderma virgatum were each only found on 0.4% of whales caught off California.,The pseudo-stalked how barnacle Xenobalanus globicipitis was many whales found on 9% of individuals caught off California; are it was caught in also found on a sei whale taken off South Africa. The acorn barnacle Coronula reginae and fishing the nets stalked off barnacle Conchoderma california virgatum were each only found on 0.4% of whales caught off California.,anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,264,5,269,7.225000000000001e-05
832573,what is the methylmalon a. c test,passage_and_query,msmarco_passage_51_506906596,"Doctoral Degree. 32,824 satisfied customers. What does these blood test results mean methylmalonic acid. what does these blood test results mean methylmalonic acid 128 87-318nmoL/L AND RHEUMATOID FACTOR 8 14 IU/mL MI c-reactive protein 0-0 0.80 mg/gl MI ANA IFA SCREENW/REFL TO QDB TITER AND PATTERN, IFA … read more.","Doctoral Degree. 32,824 satisfied customers. What does these what is the methylmalon a. c test blood test results mean methylmalonic acid. what does these blood test results mean methylmalonic acid 128 87-318nmoL/L AND RHEUMATOID FACTOR 8 14 IU/mL MI c-reactive protein 0-0 0.80 mg/gl MI ANA IFA SCREENW/REFL TO QDB TITER AND PATTERN, IFA … read more.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,291,5,296,7.9e-05
832573,what is the methylmalon a. c test,passage_and_query_words,msmarco_passage_51_506906596,"Doctoral Degree. 32,824 satisfied customers. What does these blood test results mean methylmalonic acid. what does these blood test results mean methylmalonic acid 128 87-318nmoL/L AND RHEUMATOID FACTOR 8 14 IU/mL MI c-reactive protein 0-0 0.80 mg/gl MI ANA IFA SCREENW/REFL TO QDB TITER AND PATTERN, IFA … read more.","Doctoral Degree. 32,824 satisfied customers. What does what these blood test results is the mean methylmalonic acid. methylmalon what does these blood test results mean methylmalonic acid a. c 128 87-318nmoL/L AND RHEUMATOID FACTOR 8 14 IU/mL MI c-reactive protein 0-0 0.80 mg/gl MI test ANA IFA SCREENW/REFL TO QDB TITER AND PATTERN, IFA … read more.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,291,5,296,7.9e-05
1110996,what is the role of t tubules,passage_and_query,msmarco_passage_08_389114840,"Role of proximal tubules in the pathogenesis of kidney disease. The proximal tubules make up a significant portion of the kidneys; proximal tubule epithelial cells are the most populous cell type in the kidney, and carry out diverse regulatory and endocrine functions where numerous transporters are located. Under normal circumstances, more than two thirds of fil ….","what is the role of t tubules Role of proximal tubules in the pathogenesis of kidney disease. The proximal tubules make up a significant portion of the kidneys; proximal tubule epithelial cells are the most populous cell type in the kidney, and carry out diverse regulatory and endocrine functions where numerous transporters are located. Under normal circumstances, more than two thirds of fil ….",anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,254,5,259,6.975e-05
1110996,what is the role of t tubules,passage_and_query_words,msmarco_passage_08_389114840,"Role of proximal tubules in the pathogenesis of kidney disease. The proximal tubules make up a significant portion of the kidneys; proximal tubule epithelial cells are the most populous cell type in the kidney, and carry out diverse regulatory and endocrine functions where numerous transporters are located. Under normal circumstances, more than two thirds of fil ….","Role of proximal tubules in what the pathogenesis of kidney disease. The proximal tubules make up a significant portion of the kidneys; proximal tubule epithelial cells are the most populous cell type in is the kidney, and carry the role out diverse regulatory of and endocrine functions where numerous transporters are t located. Under normal tubules circumstances, more than two thirds of fil ….",anthropic.claude-3-haiku-20240307-v1:0,1,,,1,fp,254,5,259,6.975e-05
540006,was friedrich nietzsche an atheist,passage_and_query,msmarco_passage_58_705058709,"Friedrich Nietzsche. Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.","Friedrich Nietzsche. Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In was friedrich nietzsche an atheist World History.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,279,5,284,7.6e-05
540006,was friedrich nietzsche an atheist,passage_and_query_words,msmarco_passage_58_705058709,"Friedrich Nietzsche. Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.","Friedrich was Nietzsche. Friedrich Wilhelm friedrich nietzsche Nietzsche (, German: an [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of atheist 347 The Most Important Leaders In World History.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,279,5,284,7.6e-05
1129560,accounting definition of building improvements,passage_and_query,msmarco_passage_04_614563476,"There are hundreds of accounting definitions, financial meanings and bookkeeping terms here in my accounting terms glossary. Accounting Definitions. Use this as an accounting resource to help improve your bookkeeping knowledge. Just pick a letter to go directly to the bookkeeping terms and accounting definitions associated with that letter.","There are hundreds of accounting definitions, financial meanings and bookkeeping terms here in my accounting terms glossary. Accounting Definitions. Use this as an accounting resource to help improve your bookkeeping knowledge. Just pick a letter to go directly to the bookkeeping terms and accounting definition of building improvements accounting definitions associated with that letter.",anthropic.claude-3-haiku-20240307-v1:0,2,,,2,fp,234,5,239,6.475e-05
