id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
935353,when and where did the battle of manassas take place,passage_and_query,msmarco_passage_18_106690738,"Manassas Gap. The Battle of Upperville took place in Loudoun County, Virginia on June 21, 1863 during the Gettysburg Campaign of the American Civil War .","Manassas Gap. The Battle of Upperville took place in Loudoun County, Virginia on June 21, when and where did the battle of manassas take place 1863 during the Gettysburg Campaign of the American Civil War .",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,394,17,411,0.01284
935353,when and where did the battle of manassas take place,passage_and_query_words,msmarco_passage_18_106690738,"Manassas Gap. The Battle of Upperville took place in Loudoun County, Virginia on June 21, 1863 during the Gettysburg Campaign of the American Civil War .","Manassas Gap. The Battle when of Upperville and took place where in did the Loudoun County, Virginia battle of on manassas June take 21, place 1863 during the Gettysburg Campaign of the American Civil War .",gpt-4,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2,3,,394,17,411,0.01284
226975,how does my baby get submitted for medicaid after birth,passage_and_query,msmarco_passage_05_494152645,"The cow gave birth to her calf and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.","The cow gave birth to her calf how does my baby get submitted for medicaid after birth and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,431,17,448,0.013949999999999999
226975,how does my baby get submitted for medicaid after birth,passage_and_query_words,msmarco_passage_05_494152645,"The cow gave birth to her calf and it was such a joyous sight. Submitted by MaryC on February 3, 2020. birth. The natural movement of a baby through the birth canal, cervix and then out of the vagina of their mother. The birth of the baby is a miracle they both agree. Submitted by MaryC on January 25, 2020.","The cow gave birth to her calf how and it was such a joyous sight. Submitted by MaryC on February does 3, 2020. birth. The natural movement of a baby my baby get through the birth submitted canal, cervix and then out of for medicaid the vagina after of their mother. The birth of the baby is a birth miracle they both agree. Submitted by MaryC on January 25, 2020.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,431,17,448,0.013949999999999999
975079,where does the welsh language originate from,passage_and_query,msmarco_passage_21_604956910,"Chronology. Related shows. Hidden. External links. Website. Hinterland — Y Gwyll ( Welsh for 'the dusk') in the original Welsh-language version — is a Welsh noir police procedural series broadcast on S4C in the Welsh language. The main character, DCI Tom Mathias, is played by Richard Harrington. On 27 November 2013, a second series was announced by S4C.","Chronology. Related shows. Hidden. External links. Website. Hinterland — Y Gwyll ( Welsh for 'the dusk') in the original Welsh-language version — is a Welsh noir police procedural series broadcast on S4C in the Welsh language. The main character, DCI Tom Mathias, where does the welsh language originate from is played by Richard Harrington. On 27 November 2013, a second series was announced by S4C.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,433,17,450,0.01401
975079,where does the welsh language originate from,passage_and_query_words,msmarco_passage_21_604956910,"Chronology. Related shows. Hidden. External links. Website. Hinterland — Y Gwyll ( Welsh for 'the dusk') in the original Welsh-language version — is a Welsh noir police procedural series broadcast on S4C in the Welsh language. The main character, DCI Tom Mathias, is played by Richard Harrington. On 27 November 2013, a second series was announced by S4C.","where does Chronology. Related the shows. Hidden. External links. welsh Website. Hinterland — Y Gwyll ( Welsh for 'the dusk') in the original Welsh-language language version — is a Welsh noir police procedural series originate broadcast on from S4C in the Welsh language. The main character, DCI Tom Mathias, is played by Richard Harrington. On 27 November 2013, a second series was announced by S4C.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,433,17,450,0.01401
975079,where does the welsh language originate from,passage_and_query,msmarco_passage_20_500975309,"Origin. The English-language surname Prosser is considered to be a Welsh surname. The name originated as an Anglicisation of the Welsh-language ap Rhosier, or ap Rosser, both meaning son of Roger . The English-language personal name Roger is derived from the Old French personal name Roger, Rogier. This personal name is of Germanic origin, derived from the elements hrōd (""fame"") and gār, gēr (""spear"").","Origin. The English-language surname Prosser is considered to be a Welsh surname. The name originated as an Anglicisation of the Welsh-language ap where does the welsh language originate from Rhosier, or ap Rosser, both meaning son of Roger . The English-language personal name Roger is derived from the Old French personal name Roger, Rogier. This personal name is of Germanic origin, derived from the elements hrōd (""fame"") and gār, gēr (""spear"").",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,441,17,458,0.01425
975079,where does the welsh language originate from,passage_and_query_words,msmarco_passage_20_500975309,"Origin. The English-language surname Prosser is considered to be a Welsh surname. The name originated as an Anglicisation of the Welsh-language ap Rhosier, or ap Rosser, both meaning son of Roger . The English-language personal name Roger is derived from the Old French personal name Roger, Rogier. This personal name is of Germanic origin, derived from the elements hrōd (""fame"") and gār, gēr (""spear"").","Origin. The English-language surname Prosser is considered to be a where Welsh surname. The does name originated as an Anglicisation of the the Welsh-language ap welsh Rhosier, or ap Rosser, both meaning son of Roger . The English-language personal language name Roger is derived from the Old French personal name Roger, Rogier. This originate personal name is of Germanic origin, derived from the from elements hrōd (""fame"") and gār, gēr (""spear"").",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,441,17,458,0.01425
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the are landlords liable if someone breaks in a hurts tenant lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,419,17,436,0.01359
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query_words,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: Unless there is are a provision in the lease allowing them to break it (for landlords liable example, if the tenant gives 30 days’ notice if someone that he wants to breaks move, then he can exit the lease), in then a they hurts tenant are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.",gpt-4,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1,0,,419,17,436,0.01359
