id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2002533.0,how much average cost to plan a 8' tree?,passage_and_query,msmarco_passage_53_566357041,Average costs of Medicare Advantage in Nevada. The average Medicare Advantage plan premium paid by a beneficiary in Nevada in 2019 was $8 per month. That average was affected by the 38 available plans that feature $0 monthly premiums. Average monthly premium cost in 2019 (weighted): $8.,Average costs of Medicare Advantage in Nevada. The average Medicare Advantage plan premium paid by a beneficiary in Nevada in 2019 was $8 per month. That average was affected how much average cost to plan a 8' tree? by the 38 available plans that feature $0 monthly premiums. Average monthly premium cost in 2019 (weighted): $8.,anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 0, ""T"": 1, ""O"": 0}]",0,1.0,0.0,fp,448,21,469,0.00013825
2002533.0,how much average cost to plan a 8' tree?,passage_and_query_words,msmarco_passage_53_566357041,Average costs of Medicare Advantage in Nevada. The average Medicare Advantage plan premium paid by a beneficiary in Nevada in 2019 was $8 per month. That average was affected by the 38 available plans that feature $0 monthly premiums. Average monthly premium cost in 2019 (weighted): $8.,Average costs of Medicare Advantage in Nevada. The how average Medicare Advantage plan much premium average paid by a beneficiary in Nevada in cost 2019 to was $8 per month. That average plan was a affected by the 38 available plans that feature $0 8' monthly tree? premiums. Average monthly premium cost in 2019 (weighted): $8.,anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2.0,1.0,fp,447,21,468,0.000138
2030323.0,description of mesquite plant,passage_and_query,msmarco_passage_48_467950262,Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Report Date Amount (MM) Description. 2020-10-01 $50.00. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction.,Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture description of mesquite plant in Bankruptcy Auction. Report Date Amount (MM) Description. 2020-10-01 $50.00. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction.,anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 1, ""O"": 1}]",1,1.0,1.0,fp,466,21,487,0.00014275000000000003
2030323.0,description of mesquite plant,passage_and_query_words,msmarco_passage_48_467950262,Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Report Date Amount (MM) Description. 2020-10-01 $50.00. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction.,description Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Mesquite Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction. Report Date Amount of (MM) Description. 2020-10-01 mesquite $50.00. Mesquite plant Energy Acquires Blackstone Group’s Eagle Ford Shale Venture in Bankruptcy Auction.,anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 1, ""O"": 1}]",1,1.0,1.0,fp,466,21,487,0.00014275000000000003
2005861.0,what are the three countries in 1984,passage_and_query,msmarco_passage_18_789107515,"The 1980 and 1984 World Championships consisted of a total of only three events; women's 20 km cross-country (1980), ski jumping team event and nordic combined team event (both 1984). These events were not held in the 1980 and 1984 Winter Olympics and therefore got their own World Championships.","The 1980 and 1984 World Championships consisted of a total of only three events; women's 20 km cross-country (1980), what are the three countries in 1984 ski jumping team event and nordic combined team event (both 1984). These events were not held in the 1980 and 1984 Winter Olympics and therefore got their own World Championships.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2.0,3.0,fp,449,21,470,0.0001385
2005861.0,what are the three countries in 1984,passage_and_query_words,msmarco_passage_18_789107515,"The 1980 and 1984 World Championships consisted of a total of only three events; women's 20 km cross-country (1980), ski jumping team event and nordic combined team event (both 1984). These events were not held in the 1980 and 1984 Winter Olympics and therefore got their own World Championships.","The 1980 what and 1984 World Championships consisted of a total of only three events; women's 20 km cross-country are (1980), ski jumping team the event and nordic three countries combined team event (both in 1984). These events were not held in the 1980 and 1984 Winter 1984 Olympics and therefore got their own World Championships.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2.0,1.0,fp,449,21,470,0.0001385
2000511.0,average bahamas temperature at the end of october,passage_and_query,msmarco_passage_37_356024020,"The average temperature in Cabo during October is around 85 to 90 degrees with nights in the high end of the 70s. The water temperature in October is a bit cooler, averaging around 75 degrees.","The average temperature in Cabo during October is around 85 to 90 degrees with average bahamas temperature at the end of october nights in the high end of the 70s. The water temperature in October is a bit cooler, averaging around 75 degrees.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 3, ""T"": 2, ""O"": 3}]",3,2.0,3.0,fp,421,21,442,0.0001315
2000511.0,average bahamas temperature at the end of october,passage_and_query_words,msmarco_passage_37_356024020,"The average temperature in Cabo during October is around 85 to 90 degrees with nights in the high end of the 70s. The water temperature in October is a bit cooler, averaging around 75 degrees.","The average average temperature in Cabo during October is bahamas around temperature at 85 to 90 degrees with nights in the end the high end of the 70s. The of water october temperature in October is a bit cooler, averaging around 75 degrees.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 2, ""T"": 2, ""O"": 2}]",2,2.0,2.0,fp,421,21,442,0.0001315
2033232.0,people who have fled the us because trump,passage_and_query,msmarco_passage_58_13173348,"Although most people do not seem to have recognized these earthquakes as signs of an impending eruption, some people may have rightly considered them signs of impending doom and fled. Anyone who fled in the days leading up to the eruption would have survived.","Although most people do not seem to have recognized these earthquakes as signs of an impending eruption, some people may have rightly people who have fled the us because trump considered them signs of impending doom and fled. Anyone who fled in the days leading up to the eruption would have survived.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 1, ""O"": 1}]",1,1.0,1.0,fp,424,21,445,0.00013225
2033232.0,people who have fled the us because trump,passage_and_query_words,msmarco_passage_58_13173348,"Although most people do not seem to have recognized these earthquakes as signs of an impending eruption, some people may have rightly considered them signs of impending doom and fled. Anyone who fled in the days leading up to the eruption would have survived.","people Although most people do not seem to have recognized these who earthquakes have as signs of an impending eruption, some people may have rightly considered them signs fled of impending the us doom and fled. Anyone who because fled in trump the days leading up to the eruption would have survived.",anthropic.claude-3-haiku-20240307-v1:0,"[{""M"": 1, ""T"": 0, ""O"": 1}]",1,0.0,1.0,fp,424,21,445,0.00013225
