id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
975079,where does the welsh language originate from,passage_and_query,msmarco_passage_04_377910097,"What does Carys mean? Pronounce. Carys. [ 2 syll. ca - rys, car - ys ] The baby girl name Carys is pronounced as K AA -RihS- †. Carys is mainly used in the Welsh language and its language of origin is also Welsh.","What does Carys mean? where does the welsh language originate from Pronounce. Carys. [ 2 syll. ca - rys, car - ys ] The baby girl name Carys is pronounced as K AA -RihS- †. Carys is mainly used in the Welsh language and its language of origin is also Welsh.",cohere.command-r-plus-v1:0,3,,,3,fp,0,0,0,0.0
975079,where does the welsh language originate from,passage_and_query_words,msmarco_passage_04_377910097,"What does Carys mean? Pronounce. Carys. [ 2 syll. ca - rys, car - ys ] The baby girl name Carys is pronounced as K AA -RihS- †. Carys is mainly used in the Welsh language and its language of origin is also Welsh.","What does Carys mean? where Pronounce. does Carys. [ 2 the welsh syll. language ca - rys, car originate - ys ] The baby girl name Carys is pronounced as K AA -RihS- †. Carys is mainly used in from the Welsh language and its language of origin is also Welsh.",cohere.command-r-plus-v1:0,3,,,3,fp,0,0,0,0.0
300025,how many whales are caught in fishing nets off california,passage_and_query,msmarco_passage_26_135639654,"Namilani was engaged in fishing and hunting . They made fishing nets from nettle. That was hard work because they spent 2 years for making nets and used it for a year. They used that nets and canoe for fishing. They caught erignatus barbatus, seals and even whales, and used its skins for shoes, bags, clothes and belts.","Namilani was engaged in fishing and hunting . They made fishing nets from nettle. That was hard work because they spent 2 years for making nets and used it for a year. They used that nets and canoe for fishing. They caught erignatus barbatus, seals how many whales are caught in fishing nets off california and even whales, and used its skins for shoes, bags, clothes and belts.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
300025,how many whales are caught in fishing nets off california,passage_and_query_words,msmarco_passage_26_135639654,"Namilani was engaged in fishing and hunting . They made fishing nets from nettle. That was hard work because they spent 2 years for making nets and used it for a year. They used that nets and canoe for fishing. They caught erignatus barbatus, seals and even whales, and used its skins for shoes, bags, clothes and belts.","Namilani was engaged in fishing and how hunting . They made fishing many whales nets from nettle. That was hard work because they spent are 2 years for making nets and used it for a year. They used that caught in nets fishing and canoe for fishing. They nets caught erignatus barbatus, off seals and even whales, california and used its skins for shoes, bags, clothes and belts.",cohere.command-r-plus-v1:0,1,,,1,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query,msmarco_passage_65_799579625,"The frontal lobes control your ability to make good decisions and plan, as well retrieve memories. Other affected areas of the brain include the mammillary bodies, hippocampus, and medial temporal lobe, which are involved with memory, as well as the substantia nigra, which is involved with movement.","The frontal lobes control your ability to make good decisions and plan, as well retrieve memories. Other affected areas of the brain include the mammillary bodies, which cerebral lobe of the brain is involved in our ability to see? hippocampus, and medial temporal lobe, which are involved with memory, as well as the substantia nigra, which is involved with movement.",cohere.command-r-plus-v1:0,2,,,2,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query_words,msmarco_passage_65_799579625,"The frontal lobes control your ability to make good decisions and plan, as well retrieve memories. Other affected areas of the brain include the mammillary bodies, hippocampus, and medial temporal lobe, which are involved with memory, as well as the substantia nigra, which is involved with movement.","The frontal lobes control which your ability to make good decisions and cerebral plan, as lobe well of the retrieve memories. Other affected brain is areas of the brain involved include in the mammillary our bodies, hippocampus, and medial ability temporal lobe, which are to involved see? with memory, as well as the substantia nigra, which is involved with movement.",cohere.command-r-plus-v1:0,1,,,1,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query,msmarco_passage_08_291664990,"The frontal lobe is involved in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.","The frontal lobe is involved which cerebral lobe of the brain is involved in our ability to see? in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
1006728,which cerebral lobe of the brain is involved in our ability to see?,passage_and_query_words,msmarco_passage_08_291664990,"The frontal lobe is involved in establishing priorities and planning. Richard M. Restak, in Brainscapes: An Introduction to What Neuroscience Has Learned about the Structure, Function, and Abilities of the Brain (1995), writes: ""The frontal lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.","The which frontal cerebral lobe lobe is involved in establishing priorities of and planning. Richard the M. Restak, in brain Brainscapes: An Introduction is to What involved Neuroscience in Has Learned our about the Structure, Function, and Abilities of the Brain ability (1995), writes: ""The frontal to see? lobe makes up 50 percent of the volume of each cerebral hemisphere in humans.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: Unless there is a provision in the lease allowing them to break it (for example, are landlords liable if someone breaks in a hurts tenant if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.",cohere.command-r-plus-v1:0,3.0,,,3.0,fp,0,0,0,0.0
23287,are landlords liable if someone breaks in a hurts tenant,passage_and_query_words,msmarco_passage_38_511023606,"A: Unless there is a provision in the lease allowing them to break it (for example, if the tenant gives 30 days’ notice that he wants to move, then he can exit the lease), then they are still legally liable for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.","A: are Unless landlords liable there if is a provision in the someone lease allowing them breaks to break it (for example, if the tenant gives 30 days’ notice that in he wants to move, then he a can hurts exit the lease), then they are still legally liable tenant for any and all past-due payments and future rent payments until the landlord decides to rent to someone else.",cohere.command-r-plus-v1:0,2.0,,,2.0,fp,0,0,0,0.0
337656,how old was the elephant man when he died,passage_and_query,msmarco_passage_06_99289267,"Elephant’s life expectancy is 60 to 70 years old. The oldest elephant to live was an Asian elephant named Lin Wang that died at 86 years old. Elephants show similar emotions like humans do. If a member of their herd dies, they show sadness and grieve the loss of their family members long after they have passed away.","Elephant’s life expectancy is 60 to 70 years old. The oldest elephant to live was an Asian elephant named Lin Wang that died at 86 years old. Elephants show similar emotions like humans do. If a how old was the elephant man when he died member of their herd dies, they show sadness and grieve the loss of their family members long after they have passed away.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
337656,how old was the elephant man when he died,passage_and_query_words,msmarco_passage_06_99289267,"Elephant’s life expectancy is 60 to 70 years old. The oldest elephant to live was an Asian elephant named Lin Wang that died at 86 years old. Elephants show similar emotions like humans do. If a member of their herd dies, they show sadness and grieve the loss of their family members long after they have passed away.","Elephant’s life expectancy how old is 60 was the to elephant 70 years old. man The oldest elephant to live was an Asian elephant named Lin Wang that died at 86 years old. Elephants show similar emotions like humans do. If when a member of he their herd dies, they show sadness and grieve the loss of died their family members long after they have passed away.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
540006,was friedrich nietzsche an atheist,passage_and_query,msmarco_passage_36_36940302,25 Friedrich Nietzsche Quotes About Power (The will of Power) Thus Spoke Zarathustra (42) Quotes by Friedrich Nietzsche. Friedrich Nietzsche’s 17 Views on Women. List of Friedrich Nietzsche Publications of Friedrich Publications:,25 Friedrich Nietzsche Quotes About Power (The will of Power) Thus Spoke Zarathustra (42) Quotes by Friedrich Nietzsche. was friedrich nietzsche an atheist Friedrich Nietzsche’s 17 Views on Women. List of Friedrich Nietzsche Publications of Friedrich Publications:,cohere.command-r-plus-v1:0,2,,,2,fp,0,0,0,0.0
540006,was friedrich nietzsche an atheist,passage_and_query_words,msmarco_passage_36_36940302,25 Friedrich Nietzsche Quotes About Power (The will of Power) Thus Spoke Zarathustra (42) Quotes by Friedrich Nietzsche. Friedrich Nietzsche’s 17 Views on Women. List of Friedrich Nietzsche Publications of Friedrich Publications:,25 Friedrich was Nietzsche Quotes friedrich About Power (The will of Power) Thus Spoke Zarathustra (42) Quotes by Friedrich nietzsche Nietzsche. an Friedrich Nietzsche’s 17 Views on atheist Women. List of Friedrich Nietzsche Publications of Friedrich Publications:,cohere.command-r-plus-v1:0,2,,,2,fp,0,0,0,0.0
540006,was friedrich nietzsche an atheist,passage_and_query,msmarco_passage_58_705058709,"Friedrich Nietzsche. Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.","Friedrich Nietzsche. Friedrich Wilhelm Nietzsche was friedrich nietzsche an atheist (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.",cohere.command-r-plus-v1:0,2,,,2,fp,0,0,0,0.0
540006,was friedrich nietzsche an atheist,passage_and_query_words,msmarco_passage_58_705058709,"Friedrich Nietzsche. Friedrich Wilhelm Nietzsche (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm ˈniːtʃə] (listen) or [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.","was Friedrich Nietzsche. Friedrich Wilhelm Nietzsche friedrich (, German: [ˈfʁiːdʁɪç ˈvɪlhɛlm nietzsche ˈniːtʃə] (listen) or an [- ˈniːtsʃə];... more. More Friedrich Nietzsche. The Best atheist Friedrich Nietzsche Quotes #139 of 347 The Most Important Leaders In World History.",cohere.command-r-plus-v1:0,3.0,,,3.0,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query,msmarco_passage_01_781011133,"Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has passionately loved and served the Lord with all of his heart for over 25 years.","Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has for what is david w. taylor known passionately loved and served the Lord with all of his heart for over 25 years.",cohere.command-r-plus-v1:0,0,,,0,fp,0,0,0,0.0
190623,for what is david w. taylor known,passage_and_query_words,msmarco_passage_01_781011133,"Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is a world renowned ordained minister of the Lord, who has passionately loved and served the Lord with all of his heart for over 25 years.","Apostle David E. Taylor's Blog. Apostle David E. Taylor. Apostle David E. Taylor is for a world renowned ordained minister what of the Lord, who is has david passionately loved and served the w. taylor known Lord with all of his heart for over 25 years.",cohere.command-r-plus-v1:0,2.0,,,2.0,fp,0,0,0,0.0
647362,what does s/p mean medical,passage_and_query,msmarco_passage_01_501199332,"Rx is the medical abbreviation meaning prescription. What is the medical abbreviation meaning without? The letter ""s"" with a line over it is the medical abbreviation meaning without.The medical abbreviation for ""without"" is ""s"".","Rx is the medical abbreviation meaning prescription. What is the medical abbreviation meaning without? The letter ""s"" with a line over it is the what does s/p mean medical medical abbreviation meaning without.The medical abbreviation for ""without"" is ""s"".",cohere.command-r-plus-v1:0,2,,,2,fp,0,0,0,0.0
647362,what does s/p mean medical,passage_and_query_words,msmarco_passage_01_501199332,"Rx is the medical abbreviation meaning prescription. What is the medical abbreviation meaning without? The letter ""s"" with a line over it is the medical abbreviation meaning without.The medical abbreviation for ""without"" is ""s"".","Rx is the medical abbreviation what meaning prescription. What does is the medical abbreviation meaning without? The letter ""s"" with a line s/p over it is mean the medical abbreviation meaning medical without.The medical abbreviation for ""without"" is ""s"".",cohere.command-r-plus-v1:0,3.0,,,3.0,fp,0,0,0,0.0
