id,query,field,original_passage_id,original_passage,passage,model,response,M_score,T_score,O_score,fingerprint,prompt_tokens,completion_tokens,total_tokens,cost
2032956,how much was the saturn v,passage_and_query,msmarco_passage_02_746619774,"Reset oil service light Saturn L200. 06/02/2013. 14/02/2013. admin add comment, board, button, buttons, car, cars, dash, dashboard, display, displayed, engine, error, errors, ignition, info, information, inspection, key, L200, light, maint reqd, oil, procedure, reset, reset change oil soon message Saturn L200, reset distance oil reminder Saturn L200, reset engine oil life system Saturn L200, reset maintenance, reset oil life Saturn L200, reset oil light Saturn L200, reset oil maintenance reminder Saturn L200, reset oil maintenance Saturn L200, reset oil warning light Saturn L200, reset service engine oil light Saturn L200, reset service reminders, reset service request for oil change Saturn L200, reset warning light, Saturn, Saturn L200, service, solve car problem, vehicle, vehicles.","Reset oil service light Saturn L200. 06/02/2013. 14/02/2013. admin add comment, board, button, buttons, car, cars, dash, dashboard, display, displayed, engine, error, errors, ignition, info, information, inspection, key, L200, light, maint reqd, oil, procedure, reset, reset change oil soon message Saturn L200, reset distance oil reminder Saturn L200, reset engine oil life system Saturn L200, reset maintenance, reset oil life Saturn L200, reset oil light Saturn L200, reset oil maintenance reminder Saturn L200, reset oil maintenance Saturn L200, reset oil warning light Saturn L200, reset service engine oil light Saturn L200, reset service reminders, reset service request for oil change Saturn L200, reset warning light, Saturn, Saturn L200, service, solve car how much was the saturn v problem, vehicle, vehicles.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,556,21,577,0.009915
2032956,how much was the saturn v,passage_and_query_words,msmarco_passage_02_746619774,"Reset oil service light Saturn L200. 06/02/2013. 14/02/2013. admin add comment, board, button, buttons, car, cars, dash, dashboard, display, displayed, engine, error, errors, ignition, info, information, inspection, key, L200, light, maint reqd, oil, procedure, reset, reset change oil soon message Saturn L200, reset distance oil reminder Saturn L200, reset engine oil life system Saturn L200, reset maintenance, reset oil life Saturn L200, reset oil light Saturn L200, reset oil maintenance reminder Saturn L200, reset oil maintenance Saturn L200, reset oil warning light Saturn L200, reset service engine oil light Saturn L200, reset service reminders, reset service request for oil change Saturn L200, reset warning light, Saturn, Saturn L200, service, solve car problem, vehicle, vehicles.","Reset oil service light Saturn L200. 06/02/2013. 14/02/2013. admin add comment, board, button, buttons, car, cars, how dash, dashboard, much display, displayed, engine, error, errors, ignition, info, information, inspection, key, L200, light, maint reqd, was oil, procedure, reset, reset change oil soon message Saturn L200, reset distance oil reminder Saturn L200, reset engine oil life system Saturn L200, reset maintenance, reset oil life Saturn the L200, reset oil light Saturn saturn L200, reset oil maintenance reminder Saturn L200, reset oil maintenance Saturn L200, reset oil warning light Saturn L200, reset service v engine oil light Saturn L200, reset service reminders, reset service request for oil change Saturn L200, reset warning light, Saturn, Saturn L200, service, solve car problem, vehicle, vehicles.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,556,21,577,0.009915
2005861,what are the three countries in 1984,passage_and_query,msmarco_passage_19_736469877,"From Wikipedia, the free encyclopedia. (Redirected from List of number-one country singles of 1984 (U.S.)) Jump to navigation Jump to search. Having been active since the 1960s, the Nitty Gritty Dirt Band achieved its first number one single in 1984. Hot Country Songs is a chart that ranks the top-performing country music songs in the United States, published by Billboard magazine.","From Wikipedia, the free encyclopedia. (Redirected from List of number-one country singles of 1984 (U.S.)) Jump to navigation Jump to search. Having been what are the three countries in 1984 active since the 1960s, the Nitty Gritty Dirt Band achieved its first number one single in 1984. Hot Country Songs is a chart that ranks the top-performing country music songs in the United States, published by Billboard magazine.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 1, ""T"": 3, ""O"": 1}]",1,3,1,fp,468,21,489,0.008595
2005861,what are the three countries in 1984,passage_and_query_words,msmarco_passage_19_736469877,"From Wikipedia, the free encyclopedia. (Redirected from List of number-one country singles of 1984 (U.S.)) Jump to navigation Jump to search. Having been active since the 1960s, the Nitty Gritty Dirt Band achieved its first number one single in 1984. Hot Country Songs is a chart that ranks the top-performing country music songs in the United States, published by Billboard magazine.","From Wikipedia, the free encyclopedia. (Redirected from List of number-one country what singles of 1984 (U.S.)) Jump to navigation Jump to are the search. Having been active since three the 1960s, the Nitty Gritty Dirt Band achieved its first number one single in 1984. countries Hot in Country Songs is a chart that ranks 1984 the top-performing country music songs in the United States, published by Billboard magazine.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 3, ""O"": 0}]",0,3,0,fp,468,21,489,0.008595
2032956,how much was the saturn v,passage_and_query,msmarco_passage_44_764127556,"The value of a used 2009 Saturn VUE ranges from $1,597 to $5,507, based on vehicle condition, mileage, and options. Get a free appraisal here.","The value of a used 2009 Saturn VUE ranges from $1,597 to $5,507, based on vehicle condition, how much was the saturn v mileage, and options. Get a free appraisal here.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,414,21,435,0.007784999999999999
2032956,how much was the saturn v,passage_and_query_words,msmarco_passage_44_764127556,"The value of a used 2009 Saturn VUE ranges from $1,597 to $5,507, based on vehicle condition, mileage, and options. Get a free appraisal here.","The value of a used how much 2009 Saturn VUE ranges from $1,597 to was $5,507, based on the vehicle saturn condition, mileage, v and options. Get a free appraisal here.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,414,21,435,0.007784999999999999
2032956,how much was the saturn v,passage_and_query,msmarco_passage_44_764111871,"The value of a used 2007 Saturn VUE ranges from $927 to $3,803, based on vehicle condition, mileage, and options. Get a free appraisal here.","The value of a used 2007 Saturn VUE ranges from $927 to $3,803, based on vehicle condition, mileage, and how much was the saturn v options. Get a free appraisal here.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,412,21,433,0.007755
2032956,how much was the saturn v,passage_and_query_words,msmarco_passage_44_764111871,"The value of a used 2007 Saturn VUE ranges from $927 to $3,803, based on vehicle condition, mileage, and options. Get a free appraisal here.","The value of how a much used 2007 Saturn VUE ranges from was $927 to the $3,803, based on saturn vehicle v condition, mileage, and options. Get a free appraisal here.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 2, ""O"": 0}]",0,2,0,fp,412,21,433,0.007755
2049687,what vaccination should u give show piglets,passage_and_query,msmarco_passage_34_404483209,"Many people have never seen the teeth of a pig. I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.","Many people have never seen the what vaccination should u give show piglets teeth of a pig. I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 1, ""T"": 3, ""O"": 1}]",1,3,1,fp,461,21,482,0.008490000000000001
2049687,what vaccination should u give show piglets,passage_and_query_words,msmarco_passage_34_404483209,"Many people have never seen the teeth of a pig. I could give a lengthy description of what their teeth look like but a picture says more than a hundred words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown pig’s teeth look like, take a look at the images below. I’ll start by showing the piglet’s teeth and then move on to those of a fully grown pig.","Many people have never seen the teeth of a pig. I what could give a lengthy description of what their teeth look like but a picture says more than a hundred vaccination should words so I’ll let the image do the talking. For an idea of what a piglet’s and a grown u pig’s teeth look like, take a look at the images below. I’ll start give by showing the piglet’s teeth and then show move piglets on to those of a fully grown pig.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,461,21,482,0.008490000000000001
2006627,what is 311 for,passage_and_query,msmarco_passage_12_8791311,Interesting facts about number 311. Number 311 is the name of an American band and also one of their albums. 311 for Carry on is the number used by US Transportation Security Administration and 311 DSM-IV is the code for Depressive disorder not otherwise specified.,Interesting facts about number 311. Number 311 is the name of an American band and also one of their albums. 311 for Carry on is the number what is 311 for used by US Transportation Security Administration and 311 DSM-IV is the code for Depressive disorder not otherwise specified.,anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,429,21,450,0.00801
2006627,what is 311 for,passage_and_query_words,msmarco_passage_12_8791311,Interesting facts about number 311. Number 311 is the name of an American band and also one of their albums. 311 for Carry on is the number used by US Transportation Security Administration and 311 DSM-IV is the code for Depressive disorder not otherwise specified.,Interesting facts about number 311. Number 311 is the name of an American band and what also one of their albums. 311 for Carry on is the number used by US Transportation Security Administration and is 311 311 DSM-IV is the code for for Depressive disorder not otherwise specified.,anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 1, ""T"": 2, ""O"": 1}]",1,2,1,fp,428,21,449,0.007994999999999999
2032956,how much was the saturn v,passage_and_query,msmarco_passage_04_176376931,"What is the distance from Saturn to Eath? Saturn's orbit varies from 9 to 10 AU, and the Earth's orbit is 1 AU (pretty much by definition), and they are orbiting in the same plane, so the distance from Saturn to Earth varies from 8 AU (perihelion of Saturn corresponding to nearest approach to Earth) to 11 AU (aphelion of Saturn on far side of the Sun from Earth).1 AU is about 150 million km, so the Saturn-Earth distance varies from 1,200,000,000 km to 1,650,000,000 km.The distance from Saturn to Earth is 821,190,000 miles, or 9 AU (Astronomical Units).The distance from Saturn to the Earth is about 746 million miles.","What is the distance from Saturn to Eath? Saturn's orbit varies from 9 to 10 AU, and the Earth's orbit is 1 AU (pretty much by definition), and they are orbiting in the same plane, so the distance how much was the saturn v from Saturn to Earth varies from 8 AU (perihelion of Saturn corresponding to nearest approach to Earth) to 11 AU (aphelion of Saturn on far side of the Sun from Earth).1 AU is about 150 million km, so the Saturn-Earth distance varies from 1,200,000,000 km to 1,650,000,000 km.The distance from Saturn to Earth is 821,190,000 miles, or 9 AU (Astronomical Units).The distance from Saturn to the Earth is about 746 million miles.",anthropic.claude-3-opus-20240229-v1:0,"[{""M"": 0, ""T"": 3, ""O"": 0}]",0,3,0,fp,546,21,567,0.009765000000000001
